	TCGA.ZJ.AAXN.01A.11R.A42T.07	TCGA.C5.A7UC.01A.11R.A352.07	TCGA.CV.5439.01A.01R.1686.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.67.6217.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.4396.01A.21R.1858.07	TCGA.64.1680.01A.02R.0946.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.QDT8.0926.SM.32PL2	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU	GTEX.11WQK.2926.SM.5EQKT
AARD	12.93	0.33	0.0	0.0	10.63	0.0	0.57	3.35	63.89	52.82	58.71	63.0	24.46	9.56	57.89	42.11	309.83	21.47	155.5	33.3	14.78	0.61
AMICA1	82.87	14.89	157.68	116.78	514.56	0.0	125.24	80.57	2032.85	928.3	674.59	8598.28	764.36	1909.85	4937.99	1857.6	4210.15	7803.01	2351.53	2555.58	854.13	8.13
ARHGAP30	149.12	48.87	90.77	165.57	320.8	0.0	152.28	59.13	1111.82	587.13	698.41	1250.98	521.76	896.64	1639.59	476.71	1397.83	1923.14	616.37	1001.93	358.54	146.03
ARHGEF6	78.89	11.21	55.89	49.21	199.85	123.5	114.36	87.65	563.18	226.54	616.37	1781.89	376.41	490.14	995.0	389.72	1159.07	878.17	529.06	595.34	435.55	14.78
AVPR2	4.06	0.39	3.47	5.5	4.06	0.0	2.71	4.86	40.93	16.15	15.68	158.79	16.51	20.71	74.58	7.69	57.89	21.47	18.56	18.7	12.74	0.0
BEST1	37.32	11.3	3.82	21.16	51.35	0.0	33.06	15.22	161.02	231.32	94.01	521.76	88.88	199.85	86.43	115.16	153.34	209.84	148.09	67.59	141.02	24.28
BTK	47.84	6.78	47.5	58.3	167.9	0.0	81.14	78.34	1183.45	373.81	1199.98	3768.09	251.48	896.64	2319.15	878.17	2104.58	6079.61	559.28	872.1	279.14	2.36
BTNL8	0.71	0.0	1.55	1.75	2.23	0.0	2.1	1.06	8.65	4.94	8.58	361.04	14.67	35.25	11.73	8.32	81.71	19.53	71.5	13.62	42.11	0.0
BTNL9	4.58	1.01	26.1	12.83	84.63	0.0	87.03	51.35	232.94	142.01	366.09	3395.89	178.77	708.18	212.78	71.5	191.67	547.75	3018.3	974.5	954.43	0.0
C10orf54	890.44	493.56	1709.26	414.87	884.29	0.0	503.95	529.06	2119.22	1685.71	3564.78	5555.65	4972.34	3467.27	2032.85	1015.93	1819.35	2468.49	9740.98	4607.24	947.83	934.76
C19orf38	16.51	5.32	20.11	34.02	52.45	0.0	16.88	16.75	111.21	85.22	141.02	457.25	107.38	241.19	85.82	76.71	325.29	197.09	194.36	139.07	66.18	7.51
C1orf162	132.44	38.67	118.43	353.59	540.19	0.0	169.07	293.07	3928.15	3419.52	679.29	5633.22	759.08	3467.27	3847.29	1340.84	4095.0	3847.29	5292.48	2875.3	1159.07	53.95
CARD8	297.17	206.94	178.77	260.38	624.99	368.65	325.29	400.71	563.18	567.1	536.45	2319.15	248.0	376.41	928.3	325.29	1519.15	507.46	819.3	656.11	414.87	51.71
CCM2L	12.18	4.74	13.22	12.74	40.64	0.0	35.0	20.71	127.89	152.28	129.69	567.1	31.45	82.29	185.11	38.4	400.71	134.3	90.14	94.01	121.79	5.59
CD300LF	13.12	5.19	29.27	41.81	166.73	0.0	33.54	101.54	791.35	759.08	476.71	2133.97	120.1	329.84	1322.37	595.34	1519.15	1233.75	540.19	1331.57	199.85	3.29
