	GTEX.11P7K.1426.SM.5EGKY	GTEX.YF7O.1026.SM.5P9IP	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.14DAR.0726.SM.5RQIA	GTEX.111CU.0626.SM.5EGHL	GTEX.13QBU.0926.SM.5K7WQ	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.6564.01A.12R.1884.13	TCGA.BR.A4J2.01A.21R.A251.31	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6458.11A.01R.1802.13
ACTR3B	153.34	112.77	109.66	96.68	108.14	135.24	151.22	202.66	91.41	232.94	194.36	146.03	209.84	242.88	126.12
ANKEF1	34.26	25.54	25.72	17.77	11.64	24.46	15.11	242.88	16.63	57.49	124.37	218.79	307.69	251.48	173.85
APOBEC4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.01	0.0	0.36	0.36	1.38	0.3	3.26	4.82
ARF1	8078.22	7803.01	7911.95	6935.54	6699.25	7695.57	7433.4	14163.58	8658.09	7749.1	10733.74	18689.27	17927.91	11584.24	10585.95
ARMC3	6.01	0.33	1.23	0.0	0.0	0.32	0.0	15.56	4.74	1.45	9.7	0.4	19.39	13.62	2.12
ATP6AP1	1883.54	1437.15	1487.87	1457.23	1674.06	1697.45	1508.65	4575.41	2255.7	2384.37	2701.35	4328.55	3212.66	3212.66	2271.4
ATRN	323.03	264.03	228.13	229.72	194.36	283.05	218.79	1015.93	229.72	470.14	638.15	1037.29	954.43	934.76	764.36
BHLHE40	633.73	289.02	819.3	339.14	314.17	450.94	343.89	4704.07	1304.15	1628.26	909.17	1044.52	1268.46	780.44	1096.5
C6orf132	38.67	22.75	103.69	40.07	16.39	20.56	3.99	3665.02	769.69	500.46	612.11	3039.3	1561.89	1447.15	1844.76
CCDC134	50.63	40.07	42.11	37.85	36.53	40.64	36.01	194.36	68.55	72.52	91.41	125.24	153.34	126.12	102.97
CDR2L	301.33	251.48	379.04	229.72	305.55	283.05	258.57	2997.45	775.05	1508.65	915.51	1208.34	1183.45	2061.24	624.99
CKAP4	603.67	674.59	656.11	567.1	529.06	698.41	563.18	1883.54	1096.5	1467.37	1572.76	3614.55	1697.45	1963.57	2335.28
CNGB3	0.0	2.53	0.0	0.0	4.66	0.0	2.58	10.88	0.0	3.59	10.63	4.98	3.92	2.92	0.0
COX19	132.44	151.22	146.03	164.42	197.09	141.02	171.45	563.18	148.09	255.0	334.46	258.57	435.55	336.79	191.67
CPA4	0.85	2.78	0.0	0.0	0.0	0.0	1.68	10.55	1.77	48.18	7.4	13.52	10.16	7.88	0.0
CTSS	334.46	334.46	540.19	293.07	145.02	389.72	103.69	4836.35	848.22	1551.09	1259.69	890.44	3212.66	567.1	3349.13
DGUOK	1388.16	1295.13	1208.34	1096.5	1088.92	1127.35	1233.75	2090.03	1388.16	1540.37	1617.0	1572.76	1628.26	1242.34	1295.13
DLEU7	3.14	6.62	1.22	1.99	4.7	2.01	6.36	20.26	6.73	13.52	8.06	5.87	22.43	6.94	4.46
DNAJB11	1088.92	769.69	947.83	713.11	902.89	890.44	1073.91	3103.19	1388.16	1896.65	2434.5	2224.63	2075.59	2796.65	2004.85
EDEM2	258.57	260.38	299.25	229.72	267.73	283.05	197.09	1008.9	438.59	583.07	764.36	928.3	1015.93	366.09	595.34
EIF5A2	149.12	172.65	154.42	116.78	144.01	158.79	104.42	275.28	193.01	262.2	271.48	341.51	361.04	167.9	180.02
