	GTEX.144GM.1326.SM.5LU5E	GTEX.11DXZ.0726.SM.5N9C4	GTEX.U3ZM.0426.SM.3DB73	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZY6K.0326.SM.5SIBB
AC005609.1	0.0	8.99	2.71	9.7	4.7	8.71	17.9	0.0	10.08	10.79
ANLN	8.13	400.71	21.94	127.0	162.14	15.68	336.79	33.3	14.03	88.26
AP2A1	1008.9	1697.45	651.58	1096.5	1322.37	547.75	1159.07	854.13	769.69	1111.82
ARHGAP11A	8.19	299.25	16.63	70.51	155.5	40.36	363.56	77.25	21.47	98.04
ASF1B	17.13	463.65	55.89	279.14	199.85	64.8	503.95	58.71	42.11	183.82
ASPM	1.33	111.21	3.03	31.0	40.07	10.63	94.01	7.82	12.83	24.99
ATP6V0A4	2.61	74.58	3.53	57.08	20.86	11.64	197.09	0.71	47.84	82.87
AUNIP	1.2	50.98	14.03	43.63	10.31	10.24	53.57	2.25	8.99	29.06
AURKA	50.98	679.29	50.63	120.94	171.45	64.8	476.71	24.11	71.0	138.1
BIRC5	5.59	819.3	19.97	231.32	267.73	42.71	555.41	37.32	24.99	164.42
BRCA1	8.65	158.79	61.68	127.0	120.1	84.04	265.87	26.28	54.72	100.83
BUB1	8.85	379.04	30.12	114.36	115.97	33.78	301.33	39.22	23.93	109.66
C2orf68	289.02	1250.98	384.34	543.96	713.11	599.49	748.61	733.19	339.14	718.08
CASC5	21.01	67.59	9.93	24.99	29.48	9.06	59.13	10.31	6.31	20.56
CCNA2	0.97	248.0	27.64	76.17	71.5	32.59	220.32	16.75	18.29	76.17
CCNB1	49.56	1745.2	148.09	329.84	379.04	135.24	1529.73	55.89	117.6	389.72
CCNB2	2.07	718.08	16.63	175.07	239.52	40.93	486.75	55.1	29.48	123.5
CCNF	11.82	264.03	42.11	107.38	57.49	40.93	170.25	25.91	41.52	97.36
CDC20	10.63	974.5	46.84	226.54	170.25	49.56	830.75	53.57	66.65	202.66
CDC25C	3.89	81.71	5.82	19.97	34.26	8.0	80.01	11.91	2.89	14.03
CDCA2	1.01	102.97	5.45	29.7	17.25	8.92	72.01	7.0	12.18	27.05
CDCA3	3.06	775.05	19.53	129.69	211.31	20.41	361.04	44.57	21.78	126.12
CDK1	9.48	1359.57	97.36	403.5	466.88	122.64	1508.65	76.17	105.15	325.29
CDKN3	83.45	703.28	43.63	155.5	242.88	61.68	466.88	65.26	34.75	129.69
CENPA	5.19	295.11	13.62	68.55	63.89	19.82	166.73	28.24	5.41	55.49
CENPE	1.36	82.87	4.86	15.45	26.1	11.47	71.5	9.06	4.7	15.11
CENPI	0.32	74.58	15.22	37.85	40.07	20.26	102.97	4.21	11.91	24.28
CENPW	52.08	1359.57	75.11	381.68	595.34	84.63	928.3	209.84	142.01	307.69
CKMT1A	6.26	1088.92	80.57	295.11	209.84	15.45	764.36	18.43	58.71	249.73
CLSPN	3.41	85.82	10.24	61.25	47.5	14.78	113.56	6.84	6.78	46.84
CPM	819.3	2777.33	5751.61	2609.3	7331.05	11664.82	24660.96	2609.3	1721.16	5147.73
CTC-349C3.1	12.36	75.64	26.86	50.27	73.03	51.35	99.43	80.01	19.97	132.44
DCTN2	2384.37	4736.79	3212.66	3564.78	3847.29	4358.66	5403.7	3419.52	3081.75	4575.41
DEPDC1B	2.61	103.69	3.32	36.27	19.53	14.89	115.16	5.73	3.44	32.13
DFNA5	26.67	450.94	68.55	189.02	153.34	105.15	540.19	115.16	201.25	332.14
DLGAP5	1.93	205.5	8.25	52.08	65.26	19.25	147.06	9.63	10.96	44.25
E2F1	22.43	503.95	100.13	334.46	229.72	81.71	620.67	77.79	61.25	269.6
EME1	5.45	285.03	16.03	62.12	59.55	13.32	116.78	10.55	9.34	55.49
ERCC6L	0.0	31.67	1.53	12.83	12.93	6.21	43.94	7.11	1.95	9.63
ESCO2	0.74	72.01	7.51	36.79	60.82	7.46	103.69	6.36	5.68	27.44
FAM57B	0.0	18.56	0.0	4.98	5.73	1.45	14.24	0.78	1.17	1.58
FANCI	48.87	620.67	50.63	241.19	283.05	95.34	603.67	63.45	40.36	218.79
GFER	579.04	1096.5	525.39	607.87	743.43	612.11	693.58	587.13	420.68	713.11
