	TCGA.DK.A1AB.01A.11R.A13Y.07	TCGA.ZF.A9RD.01A.11R.A42T.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.OXRL.1426.SM.3NM9E	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31
AC037459.4	32.82	0.0	59.97	2682.69	124.37	285.03	2520.38
ACTA2	22072.07	3419.52	12329.98	394590.4	30361.44	383800.28	772940.66
ACTG2	16045.82	1594.73	819.3	3406832.48	82378.63	305326.92	1048575.0
ACTN1	5366.37	3467.27	2555.58	228208.61	6516.03	81244.48	162489.97
ACTR1A	1896.65	1936.53	2090.03	3820.7	2400.97	2935.74	4512.4
ADAMTS6	25.17	9.41	9.06	32.36	11.21	49.91	30.56
ADAMTSL1	50.63	13.12	53.95	175.07	120.94	947.83	1313.23
ADD1	3349.13	2520.38	2935.74	9606.86	5517.27	7803.01	10084.54
AKAP6	32.82	6.26	10.39	728.11	49.91	403.5	842.36
AMOTL1	273.37	180.02	217.27	2915.45	500.46	1697.45	2178.83
ANTXR2	1119.56	339.14	318.57	7911.95	3372.43	15607.02	30572.63
AP1S2	231.32	154.42	242.88	1950.0	941.27	5711.87	5219.6
ARHGEF25	289.02	79.45	153.34	11745.96	1572.76	6037.61	11504.21
ARRDC4	211.31	165.57	133.36	842.36	934.76	507.46	813.63
ASB2	217.27	107.38	28.04	5403.7	909.17	2682.69	8305.36
ASB5	18.43	5.32	0.0	796.86	86.43	5112.16	7642.41
ATP2B4	2163.77	665.29	417.77	50709.61	2796.65	14663.09	20881.4
BAG2	343.89	323.03	126.12	8778.97	1369.04	2303.12	8718.32
BCL2L2	825.0	599.49	348.71	3467.27	1242.34	1427.22	2319.15
BCL7B	995.0	1417.35	866.07	2520.38	1923.14	1991.0	3325.99
BTC	41.22	12.93	55.1	1277.29	353.59	435.55	1340.84
BVES	47.5	40.36	10.39	2796.65	141.02	420.68	915.51
C1orf95	15.11	0.96	10.0	1225.22	119.26	176.29	244.57
C3orf70	55.1	3.79	71.0	738.29	285.03	638.15	961.07
C9orf172	4.13	2.86	3.06	166.73	88.88	1143.1	1950.0
CALD1	5441.3	1697.45	1870.53	148488.36	11664.82	136637.07	355624.68
CAMK2G	620.67	221.86	1617.0	12853.63	1769.57	6935.54	10368.08
CAND2	24.81	8.85	15.45	500.46	96.68	242.88	379.04
CAP2	134.3	50.98	35.5	4038.61	403.5	2796.65	5995.9
CASQ2	185.11	16.88	8.71	8363.13	476.71	1909.85	5954.47
CCDC107	612.11	674.59	551.56	5219.6	2255.7	3018.3	5076.84
CCDC136	29.7	12.27	15.22	4802.93	185.11	791.35	3212.66
CCDC149	262.2	38.12	116.78	363.56	151.22	285.03	435.55
CCDC69	244.57	249.73	521.76	14262.1	1991.0	9808.75	16611.71
CFL2	612.11	591.22	189.02	29736.59	2209.26	20881.4	40341.14
CLIP3	309.83	48.87	120.1	6250.56	872.1	3103.19	6983.79
CNN1	4010.71	460.44	633.73	887875.81	31870.96	101420.22	373305.21
CNTN1	403.5	70.01	37.85	204.07	106.63	567.1	759.08
CPXM2	320.8	39.79	309.83	9808.75	679.29	4358.66	10659.59
CSRP1	6983.79	2240.11	2351.53	1645391.11	39785.74	428815.23	938500.81
CTC-454I21.3	0.0	3.72	0.0	4.78	0.0	3.59	1.0
CTNNA3	4.06	0.0	5.63	532.74	16.88	995.0	587.13
DACT3	165.57	27.84	66.65	6935.54	463.65	3257.52	7280.4
DAZ2	0.0	0.0	0.0	0.38	0.0	0.0	0.0
DIRAS1	26.86	5.02	10.08	35.25	33.54	287.01	392.44
DKFZP761J1410	341.51	126.12	224.97	2209.26	447.82	1540.37	1963.57
DMPK	514.56	277.2	346.29	34396.12	2193.99	21919.61	55107.99
DNAJB5	236.21	185.11	76.71	12943.04	1191.69	3768.09	11664.82
DSTN	9215.48	4903.87	9025.81	194578.47	29124.6	193234.41	485798.0
DYNC1I1	189.02	11.38	117.6	1250.98	301.33	212.78	336.79
EMILIN1	1467.37	518.15	1540.37	16843.62	2796.65	3443.31	4512.4
ENOX1	34.26	11.55	201.25	1051.79	86.43	563.18	713.11
EPM2A	30.34	37.32	32.59	2319.15	191.67	1268.46	2319.15
FAM129A	825.0	242.88	177.53	6840.04	1119.56	4937.99	7803.01
FBXL22	71.5	5.36	65.26	9540.5	318.57	995.0	2351.53
FLNA	21320.18	17681.08	6935.54	1634025.56	64632.75	513497.31	1393227.06
FLNC	409.15	43.63	45.21	95949.32	2104.58	12589.08	56265.94
