	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.KN.8435.11A.01R.2315.07	GTEX.147F4.2626.SM.5Q5CS	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B8.4620.11A.01R.1758.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CZ.5465.11A.01R.1503.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.B0.5690.11A.01R.1541.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.5875.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
A1CF	0.39	0.0	256.78	36.79	185.11	51.71	236.21	366.09	0.36	392.44	363.56	208.38	366.09	473.41	163.28	0.0	0.0
ABAT	94.67	18.7	2739.08	463.65	934.76	323.03	2682.69	3372.43	122.64	3212.66	1551.09	2148.82	4704.07	5292.48	1167.14	0.0	0.41
ACSBG2	0.0	0.38	23.59	6.46	11.47	3.11	44.25	95.34	0.0	64.34	29.91	55.49	71.0	77.79	21.78	0.0	0.0
ACSM5	6.46	58.3	521.76	108.14	366.09	255.0	718.08	890.44	53.95	728.11	429.54	514.56	1119.56	988.12	303.44	0.0	0.14
ACY3	0.0	27.25	1936.53	329.84	872.1	532.74	3039.3	4298.64	14.67	2739.08	1923.14	2119.22	3639.7	3716.2	1477.58	0.0	0.02
AFM	0.0	0.0	796.86	82.87	246.28	105.15	1651.0	2816.11	0.33	1477.58	543.96	660.68	1628.26	1844.76	107.38	0.0	0.0
AGXT	2.1	1.64	688.78	27.44	52.08	20.86	934.76	896.64	0.33	743.43	420.68	423.61	785.88	1883.54	490.14	0.0	0.0
ALAD	2240.11	1044.52	2163.77	1268.46	1313.23	791.35	2287.2	2319.15	928.3	2224.63	1378.57	2004.85	3212.66	3060.45	1183.45	0.0	0.56
ALDH6A1	114.36	130.6	7230.1	1447.15	2645.74	902.89	7433.4	9606.86	896.64	9606.86	3103.19	6037.61	12589.08	15934.98	3039.3	120.94	314.17
ALPL	269.6	180.02	1508.65	223.41	555.41	346.29	1991.0	2720.15	111.99	2417.67	1151.06	1529.73	3955.48	3303.0	775.05	0.0	0.0
AMDHD2	603.67	358.54	624.99	281.09	303.44	309.83	587.13	718.08	156.59	633.73	406.31	503.95	759.08	813.63	426.57	0.0	0.14
ANKRD34C	0.0	0.0	1.04	0.0	0.72	0.39	1.08	1.66	0.0	1.16	0.0	1.93	0.74	0.75	0.35	0.0	0.0
AQP7	2.01	6.84	878.17	193.01	281.09	441.64	1096.5	1757.34	265.87	981.29	785.88	571.05	1594.73	1594.73	371.22	0.0	0.13
ARPP21	0.0	0.0	8.51	12.36	4.74	4.7	17.9	16.63	1.69	20.56	13.42	15.22	20.56	32.13	14.78	0.0	0.0
AS3MT	4.62	3.56	327.56	220.32	223.41	131.51	387.02	503.95	163.28	507.46	217.27	366.09	507.46	432.53	229.72	89.51	146.03
ASB15	0.0	0.0	96.68	16.39	19.82	7.57	116.78	209.84	1.27	138.1	74.58	95.34	275.28	329.84	29.7	0.0	0.0
ASL	339.14	669.92	2287.2	988.12	1242.34	974.5	2367.9	2645.74	651.58	2976.74	2178.83	1388.16	2997.45	3665.02	1697.45	0.0	0.41
ASPDH	4.54	0.0	1304.15	194.36	656.11	182.55	1870.53	2835.7	0.37	1883.54	1477.58	1151.06	2701.35	2573.36	934.76	0.0	0.24
ASS1	1427.22	1617.0	46019.85	8718.32	17197.56	7485.11	55491.3	71714.63	1757.34	52863.07	39510.91	31650.8	89523.81	63302.6	16843.62	0.0	0.99
ATXN7L1	134.3	224.97	265.87	141.02	190.34	133.36	353.59	497.0	107.38	376.41	229.72	264.03	366.09	373.81	157.68	0.0	0.28
BHMT	1.53	2.48	11664.82	2609.3	5329.3	2758.13	16960.78	24321.43	65.26	26431.04	10014.87	10440.2	26986.43	23169.48	5403.7	0.0	0.0
BPI	0.0	28.04	120.1	47.5	49.21	73.03	142.01	312.0	9.34	88.26	57.89	73.54	151.22	351.14	98.04	0.0	0.28
C10orf67	11.91	0.0	46.18	10.47	19.68	10.88	49.21	42.11	5.36	37.85	31.45	35.25	56.28	49.21	28.65	0.0	0.0
C11orf85	36.53	84.04	25.72	13.52	21.32	2.78	26.1	52.45	4.39	43.32	15.91	31.45	53.57	54.33	19.39	0.0	0.05
