	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.DJ.A13V.01A.11R.A10U.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.13U4I.0526.SM.5LU59	GTEX.11TT1.1126.SM.5P9GV	GTEX.Y8E4.0126.SM.4VBQ2	TCGA.AJ.A3BG.01A.11R.A19W.07	TCGA.BK.A13B.01A.51R.A22K.07
ABCA8	12.36	384.34	7.34	16.27	0.0	0.39	59.13	7.0	105.15	258.57	256.78	181.28	473.41	819.3	215.77	444.72	0.8	3.89
AC019171.1	5.77	361.04	10.16	4.43	0.0	0.16	13.93	1.75	39.5	18.7	12.83	10.16	59.13	52.08	58.3	40.93	8.78	1.57
AC068620.1	6.26	4.46	1.77	2.89	0.0	0.0	3.59	2.58	1.97	20.71	5.96	15.45	28.24	20.71	24.99	21.94	0.0	2.23
AC110771.1	1.0	5.63	5.68	2.89	0.0	0.0	3.29	4.5	6.89	4.31	23.59	34.51	29.91	31.67	12.0	27.44	4.74	3.35
ADRB2	22.59	116.78	14.35	26.67	0.0	0.21	13.93	43.32	10.08	16.03	50.98	42.71	80.57	59.97	11.64	57.08	3.82	5.36
AHSA2	201.25	1088.92	890.44	246.28	0.0	1.58	1008.9	547.75	954.43	1023.0	669.92	947.83	1583.71	1769.57	316.37	1369.04	88.26	149.12
AL049840.1	11.91	22.1	22.59	12.18	0.0	0.37	4.39	8.78	17.9	43.94	40.64	36.53	51.35	60.82	19.11	54.33	5.5	2.78
AL079342.1	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.31	1.99	0.91	1.51	1.38	3.41	0.0	0.0
AL590822.1	1.06	24.11	9.13	15.22	0.0	0.08	8.06	1.36	5.96	15.91	14.03	12.09	26.1	26.67	12.74	30.12	7.46	2.39
ALAD	400.71	961.07	651.58	1151.06	0.0	0.56	915.51	460.44	802.41	1167.14	995.0	934.76	1183.45	1477.58	1066.48	1143.1	587.13	476.71
AMICA1	45.53	314.17	81.71	161.02	0.0	0.4	169.07	242.88	83.45	249.73	361.04	190.34	723.08	733.19	17.77	309.83	27.64	63.45
ANKRD20A3	7.57	3.38	3.66	0.0	0.0	0.0	2.97	2.34	3.08	18.43	15.45	32.13	26.67	20.41	2.71	27.84	0.44	5.63
ARR3	1.31	0.0	0.0	2.23	0.0	0.04	0.0	0.0	0.82	2.51	2.92	2.92	2.29	7.46	0.6	3.29	0.0	0.0
ASB16	13.62	22.26	9.48	3.0	0.0	0.38	12.27	9.78	11.73	67.12	37.59	21.94	36.01	43.02	34.26	22.75	7.4	4.58
ATP8B2	78.89	307.69	113.56	262.2	76.71	84.04	241.19	507.46	283.05	693.58	525.39	718.08	995.0	599.49	624.99	291.04	32.59	30.56
AVIL	54.33	368.65	85.22	53.95	0.0	0.36	142.01	105.15	151.22	166.73	165.57	353.59	361.04	547.75	125.24	603.67	14.03	33.3
B3GALT2	0.61	19.25	1.43	1.1	0.0	0.0	1.95	0.87	1.33	29.06	8.71	48.52	25.35	42.11	11.64	8.65	0.22	3.72
BHLHE22	7.34	16.75	1.08	18.97	0.0	0.23	1.13	0.77	4.46	6.41	26.1	7.88	41.81	32.82	11.73	27.44	1.11	0.0
BMP8A	15.22	7.63	5.15	44.57	0.0	0.43	5.36	2.89	15.0	825.0	909.17	341.51	116.78	61.68	358.54	0.91	0.99	0.45
C11orf63	17.64	603.67	83.45	65.72	0.0	0.27	64.8	69.52	46.18	119.26	85.82	97.36	151.22	115.97	100.83	91.41	0.97	67.12
C11orf85	0.0	848.22	21.94	5.19	0.0	0.05	5.41	0.0	1.85	3.44	3.03	5.28	16.27	22.26	11.91	26.1	2.68	0.88
C22orf46	88.88	173.85	176.29	113.56	0.0	0.17	148.09	127.0	198.47	236.21	208.38	249.73	343.89	273.37	251.48	351.14	77.79	93.35
C9orf139	0.39	2.23	4.82	0.39	0.0	0.52	2.89	2.48	2.97	9.13	4.78	6.01	11.38	8.38	4.03	7.17	0.44	0.49
CARD8	457.25	518.15	379.04	555.41	368.65	171.45	376.41	285.03	490.14	656.11	514.56	884.29	1350.18	1127.35	514.56	607.87	159.9	281.09
CBFA2T2	118.43	211.31	147.06	115.16	0.0	0.58	138.1	177.53	183.82	271.48	197.09	265.87	371.22	341.51	217.27	361.04	206.94	81.14
CCDC36	3.35	20.71	1.11	6.31	0.0	0.2	3.11	2.78	4.43	16.27	14.14	17.51	17.9	42.11	16.63	10.08	1.01	0.48
CCDC38	0.0	1.69	0.37	0.37	0.0	0.04	0.36	0.0	0.37	4.9	3.44	1.1	5.54	4.46	2.34	5.41	0.36	0.0
CDNF	6.46	103.69	51.71	59.13	0.0	0.0	117.6	29.27	69.03	101.54	147.06	151.22	131.51	175.07	88.88	299.25	20.56	34.75
CEBPA	19.11	21.16	7.75	1.91	0.0	0.01	10.63	5.5	1.83	25.54	23.59	43.02	23.59	23.59	24.99	29.7	1.57	4.28
CHST12	255.0	409.15	176.29	318.57	0.0	0.46	273.37	287.01	343.89	307.69	318.57	420.68	473.41	470.14	358.54	289.02	239.52	234.57
