	TCGA.GD.A3OP.11A.11R.A220.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.12696.1526.SM.5EGL6	GTEX.145MO.1526.SM.5QGQC	TCGA.AK.3447.01A.01R.1766.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ACOT9	395.18	915.51	1313.23	1135.2	1594.73	785.88	1001.93	211.31	409.15	181.28	1225.22	295.11
ACTN1	1447.15	228208.61	81244.48	86474.27	162489.97	13776.25	13306.94	15.56	1662.49	1088.92	0.0	0.73
ADAM23	46.18	88.88	166.73	134.3	152.28	58.3	185.11	0.0	3.23	1.97	0.0	0.53
AGK	297.17	435.55	346.29	318.57	348.71	332.14	275.28	167.9	115.16	185.11	0.0	0.51
AKIRIN1	764.36	1175.27	1059.11	921.88	1295.13	612.11	802.41	297.17	417.77	368.65	878.17	674.59
AL589739.1	7.34	7.17	5.11	0.0	4.1	0.0	16.39	0.0	0.0	0.0	0.0	0.13
AL953854.2	16.88	473.41	204.07	647.07	435.55	251.48	275.28	0.84	16.27	13.03	0.0	0.35
ANO6	629.35	2720.15	2875.3	1977.24	5006.93	463.65	651.58	620.67	249.73	466.88	397.93	66.18
AP1S2	194.36	1950.0	5711.87	7382.04	5219.6	656.11	1127.35	444.72	60.82	49.91	0.0	0.48
ARHGEF26	432.53	4671.57	1015.93	1233.75	1832.01	638.15	1175.27	1.2	379.04	450.94	0.0	0.43
BLVRA	1709.26	3018.3	1870.53	1721.16	1896.65	1023.0	1388.16	954.43	285.03	84.63	0.0	0.78
BVES	20.71	2796.65	420.68	307.69	915.51	162.14	376.41	1.14	1.55	3.11	0.0	0.4
C10orf107	15.68	61.68	543.96	154.42	182.55	10.88	70.01	0.0	0.0	4.43	0.0	0.0
C12orf55	2.68	13.52	38.67	30.34	16.15	7.17	22.92	3.08	0.46	0.0	0.0	0.04
C9orf3	1457.23	5329.3	3665.02	3081.75	4481.23	2004.85	2997.45	1950.0	1819.35	1183.45	642.59	195.72
CACNA1C	44.89	5329.3	1963.57	1350.18	2351.53	532.74	595.34	0.83	10.79	7.88	0.0	0.62
CALD1	1721.16	148488.36	136637.07	120609.84	355624.68	10883.59	17197.56	68.07	1388.16	2061.24	1832.01	1832.01
CCDC147	3.69	21.63	9.34	15.22	20.41	24.11	18.97	6.21	3.29	0.75	0.0	0.04
CDHR3	15.8	3146.52	1331.57	579.04	24.99	1769.57	1183.45	7.88	21.47	49.56	0.0	0.0
CDS2	486.75	693.58	954.43	1081.39	1529.73	571.05	660.68	1119.56	395.18	403.5	0.0	0.68
CENPI	7.4	11.55	69.52	16.63	12.0	7.82	8.92	0.77	1.08	4.17	0.0	0.22
CHRFAM7A	12.09	20.11	3.76	23.08	47.84	10.47	41.81	0.77	0.0	8.92	0.0	0.37
CNST	194.36	305.55	723.08	896.64	708.18	423.61	674.59	50.98	133.36	190.34	0.0	0.39
CNTNAP2	1.03	20.41	267.73	139.07	80.01	67.59	39.5	0.38	2.46	19.82	0.0	0.19
CNTNAP3	25.91	332.14	438.59	638.15	450.94	241.19	260.38	1.95	7.22	7.63	0.0	0.36
CNTNAP4	0.35	11.21	24.28	12.64	74.58	2.05	13.62	0.0	0.0	0.0	0.0	0.09
COL4A2	1037.29	25005.23	21026.65	21768.19	23656.34	6037.61	5831.91	242.88	444.72	260.38	1135.2	301.33
CS	1857.6	2997.45	2537.92	2193.99	2777.33	2451.44	2502.97	1662.49	928.3	587.13	2537.92	285.03
CSRP1	8598.28	1645391.11	428815.23	172949.54	938500.81	67377.47	54349.29	5831.91	1857.6	2119.22	2047.0	291.04
CTNND2	1.69	52.82	15.11	20.56	26.86	24.63	38.95	0.0	0.0	5.15	0.0	0.0
DAAM2	66.65	660.68	11345.82	5711.87	17317.18	1457.23	2451.44	30.12	27.05	64.34	0.0	0.57
DBF4B	39.22	167.9	215.77	204.07	159.9	209.84	214.27	6.31	29.91	37.85	0.0	0.57
DPF3	4.39	56.68	53.19	36.27	36.53	40.93	43.94	2.36	14.89	37.59	0.0	0.23
DPP6	0.35	4575.41	3589.58	351.14	4152.18	88.88	273.37	0.0	0.0	0.0	0.0	0.0
DTNA	215.77	1651.0	2739.08	1757.34	5112.16	909.17	1605.83	193.01	336.79	41.22	0.0	0.74
EDN3	3.35	35.76	406.31	13.93	703.28	0.55	102.25	0.0	1.91	3.99	0.0	0.0
EEPD1	291.04	381.68	267.73	251.48	361.04	543.96	579.04	100.13	454.09	201.25	0.0	0.52
EXTL2	99.43	708.18	351.14	353.59	441.64	217.27	297.17	63.0	71.5	114.36	0.0	0.36
FAM69A	77.25	915.51	599.49	320.8	928.3	102.97	366.09	36.27	154.42	262.2	0.0	0.23
FAM83D	277.2	18560.17	16157.44	7749.1	17078.76	1350.18	2701.35	3.47	21.94	30.34	0.0	0.56
FAM98A	616.37	718.08	753.83	974.5	1277.29	547.75	603.67	85.82	463.65	287.01	0.0	0.1
FBXL2	34.02	325.29	220.32	409.15	232.94	152.28	199.85	111.99	7.28	5.63	0.0	0.3
FERMT2	447.82	12764.83	11189.6	11035.54	19082.0	2485.67	2573.36	271.48	463.65	688.78	0.0	0.74
FRY	271.48	1151.06	1487.87	1313.23	1081.39	543.96	878.17	97.36	135.24	157.68	0.0	0.38
GAB1	115.97	536.45	669.92	738.29	941.27	693.58	444.72	45.21	31.9	62.12	0.0	0.3
GALNT12	262.2	511.0	135.24	223.41	327.56	201.25	457.25	13.83	0.61	5.59	0.0	0.19
GPC2	17.13	25.54	81.14	20.56	16.27	21.63	22.92	0.84	3.2	4.5	0.0	0.83
GPM6A	71.5	2915.45	8718.32	2209.26	11504.21	287.01	748.61	11.3	10.16	37.85	0.0	0.0
GPR26	0.0	115.16	13.62	25.17	15.8	5.28	2.36	0.0	0.0	0.0	0.0	0.0
GRB10	167.9	1295.13	796.86	698.41	674.59	486.75	688.78	423.61	301.33	514.56	0.0	1.07
GRIN3A	1.68	4.98	5.45	7.22	9.27	3.79	5.54	1.14	2.58	1.38	0.0	0.01
HEPH	114.36	2915.45	1322.37	1991.0	1594.73	466.88	1001.93	4.7	16.15	19.53	70.51	114.36
HMCN1	30.12	297.17	2664.15	1977.24	2434.5	55.49	525.39	6.16	19.68	46.84	0.0	0.57
HSPB3	99.43	80.01	281.09	563.18	1819.35	112.77	403.5	0.0	0.0	0.0	0.0	0.18
KIF1B	140.04	571.05	543.96	612.11	866.07	320.8	397.93	20.56	118.43	128.79	115.16	114.36
LMO3	58.3	10014.87	4268.94	2537.92	5594.3	470.14	928.3	0.38	3.79	5.32	0.0	0.43
LOXL4	37.85	791.35	157.68	178.77	198.47	90.14	172.65	0.4	85.22	20.56	0.0	0.56
LUZP1	201.25	275.28	346.29	318.57	327.56	113.56	176.29	34.02	27.44	24.81	0.0	0.44
ME2	470.14	684.02	532.74	447.82	743.43	775.05	647.07	351.14	170.25	133.36	0.0	0.52
MICAL2	180.02	1936.53	3794.3	3665.02	11504.21	1540.37	2240.11	5.92	435.55	258.57	0.0	0.64
MITF	120.94	921.88	954.43	563.18	878.17	293.07	514.56	406.31	17.25	23.08	0.0	0.36
MTUS2	24.81	93.35	220.32	199.85	928.3	8.19	63.89	2.66	0.0	2.89	0.0	0.0
NCAM1	145.02	2555.58	1378.57	1051.79	2287.2	915.51	1594.73	4.28	3.99	13.12	0.0	0.39
NEXN	320.8	8479.89	10084.54	6887.62	26614.89	1883.54	2609.3	37.85	63.0	41.81	124.37	1733.13
NFASC	104.42	884.29	1963.57	1819.35	2148.82	616.37	1674.06	2.43	92.7	86.43	0.0	0.57
NRXN3	97.36	1151.06	2875.3	1551.09	5954.47	237.86	532.74	358.54	6.73	2.53	0.0	0.21
