	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.ZF.AA56.01A.31R.A39I.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.HM.A3JJ.11A.12R.A21T.07	GTEX.ZDTS.2726.SM.5L3E2	GTEX.Y3I4.1226.SM.4TT8N	GTEX.1497J.2726.SM.5SI9W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.68.A59J.01A.21R.A26W.07	TCGA.94.7557.01A.11R.2125.07	GTEX.13OVJ.2326.SM.5IJGA
ANKHD1-EIF4EBP3	599.49	214.27	460.44	356.05	142.01	167.9	343.89	334.46	0.0	0.37	183.82	180.02	45.21
ASTL	18.97	1.6	26.67	12.55	0.99	0.0	14.78	5.82	0.0	0.18	4.86	2.1	3.72
BCL2L14	175.07	115.97	255.0	4.86	0.0	0.0	4.31	2.14	0.0	0.02	76.71	13.22	2.97
C15orf62	226.54	26.1	376.41	155.5	15.22	12.45	450.94	309.83	0.0	0.59	32.13	27.25	17.51
C1orf233	444.72	287.01	813.63	718.08	53.57	34.75	323.03	303.44	0.0	0.0	145.02	54.72	17.77
CALML5	31870.96	29.91	1336472.68	1327240.99	1.28	5.87	796.86	848.22	0.0	0.0	54.72	1540.37	0.0
CLIC6	1883.54	493.56	1225.22	4038.61	17.38	33.3	231.32	395.18	35.76	88.26	100.13	466.88	3.89
CNDP2	6745.86	3639.7	7803.01	7032.37	1008.9	866.07	2701.35	2609.3	0.0	0.56	2855.44	4066.71	1331.57
CPB1	429.54	0.0	303.44	8.71	4.17	2.16	111.99	45.21	0.0	0.15	0.53	172.65	4.82
CRISP3	303.44	29.91	828417.36	6581567.44	0.0	0.0	171.45	79.45	0.0	0.0	3.41	2.1	11.82
CSTB	24660.96	9540.5	443937.41	169390.27	1561.89	1594.73	61999.83	69753.56	0.0	0.74	11584.24	2997.45	934.76
CYP4F2	143.01	11.91	144.01	9.85	0.0	0.0	16.88	24.81	0.0	0.1	7.57	9.2	0.0
CYP4F22	1030.12	109.66	1457.23	974.5	3.63	1.75	791.35	540.19	0.0	0.0	29.06	1.83	0.0
ENTPD3	723.08	559.28	954.43	1037.29	25.54	24.81	182.55	134.3	0.0	0.0	571.05	77.25	2.81
ERBB3	5711.87	1388.16	4937.99	3325.99	18.56	540.19	2032.85	2119.22	848.22	909.17	571.05	775.05	186.4
FAM3D	2417.67	928.3	10883.59	29327.18	4.03	0.0	7589.61	3955.48	0.0	0.31	41.22	8.58	2.86
FASN	8134.41	2555.58	15607.02	5751.61	688.78	743.43	6840.04	9606.86	0.0	0.0	2627.46	5183.54	555.41
GABRQ	223.41	42.41	190.34	170.25	3.38	0.33	18.16	16.75	0.0	0.0	15.0	15.34	0.6
GAREM	543.96	180.02	327.56	511.0	110.43	140.04	353.59	154.42	0.0	0.14	148.09	105.89	52.82
GLTP	5594.3	2061.24	55877.28	23656.34	503.95	995.0	8247.98	8421.31	802.41	2758.13	3212.66	1242.34	358.54
GRHL1	1104.13	928.3	20170.07	10659.59	6.73	115.97	2319.15	1923.14	0.0	0.35	473.41	291.04	6.57
GRHL3	1709.26	1119.56	80683.28	31650.8	3.0	6.84	2061.24	1857.6	0.0	0.38	1127.35	73.03	4.06
