	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.G4.6298.01A.11R.1723.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.G4.6311.01A.11R.1723.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZVP2.1626.SM.5GU5D	GTEX.YFCO.0826.SM.5LUAG	GTEX.11DXX.1326.SM.5GIDZ	GTEX.Y3IK.1426.SM.4YCES	GTEX.UJMC.1226.SM.4IHLI
AADAC	12.55	1.27	0.56	13.22	0.0	0.0	1183.45	1066.48	1605.83	1662.49	543.96
ABHD6	99.43	143.01	178.77	90.77	0.0	0.06	414.87	414.87	466.88	551.56	438.59
ABI1	4704.07	518.15	500.46	665.29	995.0	571.05	995.0	961.07	1015.93	1295.13	633.73
ACER2	93.35	14.78	17.13	23.08	0.0	0.03	2240.11	450.94	1350.18	1259.69	291.04
ACOX3	2739.08	181.28	214.27	303.44	0.0	0.55	669.92	607.87	842.36	713.11	497.0
ADRB2	273.37	30.34	3.5	8.51	0.0	0.21	647.07	85.22	426.57	206.94	51.71
AKR1B10	998912.34	0.54	92.05	138.1	0.0	0.61	77934.88	30999.42	102836.01	51417.5	12502.12
AKR1C3	206.94	68.55	81.71	1277.29	0.0	1.19	19214.73	11584.24	26986.43	11584.24	6471.02
ALDH3A2	8078.22	366.09	759.08	397.93	0.0	0.72	5479.15	2777.33	4388.98	4095.0	1950.0
ANKRD29	99.43	23.08	271.48	215.77	0.0	0.44	1674.06	412.0	629.35	723.08	567.1
ANKRD31	42.71	0.55	0.91	1.71	0.0	0.0	28.24	11.38	6.94	17.9	1.03
ANKRD44	45.21	38.95	23.76	76.71	0.0	0.45	591.22	135.24	307.69	262.2	57.49
ARHGAP28	96.01	3.0	3.5	8.51	0.0	0.31	88.88	21.16	27.44	199.85	16.15
BMP10	0.0	0.0	0.0	0.0	0.0	0.0	6.11	0.47	0.34	4.24	1.28
BTNL8	0.0	0.0	8.78	78.34	0.0	0.21	3716.2	180.02	674.59	1498.22	111.21
C4orf32	19.39	10.0	16.51	21.16	0.0	0.3	281.09	126.12	165.57	187.71	48.18
C4orf36	120.94	67.59	45.21	63.0	0.0	0.24	190.34	144.01	83.45	287.01	141.02
CAPNS1	21468.49	6935.54	7911.95	7749.1	6471.02	854.13	8363.13	9808.75	11345.82	9474.59	7749.1
CBR1	10296.45	703.28	1286.18	1286.18	0.0	0.87	9673.69	5329.3	20593.91	5711.87	7032.37
CCDC85C	429.54	435.55	265.87	414.87	0.0	0.32	819.3	674.59	547.75	346.29	669.92
CCNDBP1	1119.56	660.68	387.02	587.13	0.0	0.75	2061.24	1437.15	1709.26	2119.22	1427.22
CHMP6	543.96	303.44	305.55	450.94	0.0	0.39	769.69	603.67	728.11	743.43	454.09
COL17A1	1179708.33	241.19	723.08	1259.69	0.0	0.6	4358.66	493.56	3467.27	2777.33	353.59
CSTA	1.6409999923E8	30.56	37.32	99.43	0.0	0.92	8718.32	327.56	2609.3	4704.07	232.94
CSTB	443937.41	2255.7	3060.45	2537.92	0.0	0.74	4769.75	5076.84	15934.98	10808.41	1883.54
CWH43	144427.91	0.12	29.06	7.28	0.0	0.0	244.57	144.01	236.21	381.68	152.28
CYP2C19	532.74	0.0	1.08	14.24	0.0	0.07	435.55	164.42	236.21	414.87	139.07
CYP2C9	647.07	0.0	0.91	34.02	0.0	0.15	921.88	507.46	460.44	808.0	346.29
CYP4F11	4769.75	0.47	4.58	19.25	0.0	0.3	466.88	255.0	1378.57	665.29	239.52
CYP4F12	878.17	159.9	293.07	503.95	0.0	0.54	3280.18	1832.01	5329.3	2520.38	802.41
CYSLTR1	8.38	1.91	2.03	8.45	0.0	0.0	205.5	43.02	105.89	82.29	30.78
CYTH1	1769.57	490.14	305.55	785.88	0.0	0.65	2367.9	1268.46	1896.65	1467.37	1216.75
CYTH2	1277.29	1304.15	872.1	1417.35	0.0	0.64	2384.37	1175.27	981.29	1651.0	1331.57
DAPK2	329.84	220.32	242.88	129.69	0.0	0.39	995.0	309.83	406.31	400.71	285.03
DCTN2	5041.77	3168.41	2537.92	3349.13	0.0	1.25	3768.09	5954.47	4903.87	5329.3	3768.09
DGKA	33922.56	651.58	693.58	669.92	0.0	0.99	2224.63	1151.06	3349.13	2976.74	902.89
DHRS7	1030.12	1467.37	1001.93	1119.56	0.0	0.79	3190.46	2855.44	3081.75	2367.9	3639.7
DISP1	16.15	31.0	23.42	85.22	0.0	0.34	371.22	114.36	327.56	417.77	113.56
DOPEY2	1096.5	106.63	60.82	140.04	0.0	0.37	738.29	525.39	587.13	780.44	511.0
