	TCGA.C5.A2LV.01A.11R.A18M.07	GTEX.P4QT.0626.SM.3NMCP	TCGA.F7.A61V.01A.11R.A28V.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CV.7250.01A.11R.2016.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.MX.A666.01A.11R.A31P.31	TCGA.MX.A5UG.01A.21R.A31P.31
ABCG8	0.0	26.1	0.0	0.66	14.03	0.0	0.0	0.0	2.97	11.3	1.19
ABHD14B	368.65	1340.84	323.03	651.58	1216.75	480.04	0.0	0.56	1427.22	1242.34	1806.78
AC079602.1	0.1	1.138002091E7	0.0	0.0	1.51	0.0	0.0	0.0	612.11	2104.58	244.57
AC104472.1	0.0	4.58	0.0	0.0	1.14	0.0	0.0	0.0	2.39	4.66	2.07
ACSL5	34.51	1340.84	164.42	36.53	423.61	10.16	0.0	0.75	2451.44	674.59	2018.8
AGMAT	39.79	22.1	18.16	41.22	140.04	10.24	105.15	131.51	150.17	454.09	153.34
AKAP1	295.11	728.11	543.96	529.06	967.76	224.97	0.0	0.09	1183.45	2271.4	866.07
ALPPL2	1.73	82.87	0.34	0.35	31.67	0.0	0.0	0.0	7.06	180.02	58.3
AMBRA1	92.7	343.89	209.84	273.37	325.29	153.34	0.0	0.48	318.57	341.51	366.09
ANKHD1	603.67	2032.85	808.0	947.83	1417.35	708.18	0.0	1.07	2384.37	2303.12	1977.24
ANXA4	2224.63	1832.01	1167.14	2997.45	3665.02	1709.26	0.0	0.48	3419.52	4095.0	2875.3
AP000974.1	1.46	5.06	1.27	2.03	4.1	0.96	0.0	0.29	6.21	4.74	9.27
ATG16L1	307.69	503.95	301.33	314.17	559.28	220.32	392.44	151.22	521.76	507.46	460.44
B3GNT7	20.11	909.17	13.42	12.64	237.86	8.19	72.01	759.08	1250.98	854.13	466.88
C10orf112	0.0	0.74	0.0	1.75	52.82	0.0	0.0	0.12	0.66	100.83	229.72
C1QL3	0.73	23.76	3.47	0.39	17.13	0.0	0.0	0.0	6.06	9.63	2.2
C20orf202	1.53	13.32	7.88	4.58	7.28	2.29	0.0	0.0	15.56	11.21	15.11
