	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.D6.6824.01A.11R.1915.07	TCGA.CR.7377.01A.11R.2016.07	TCGA.CV.7238.01A.11R.2016.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN
AC129492.6	0.77	3.35	27.05	27.44	47.17	53.19	0.0	0.18	269.6
ACHE	12.0	112.77	143.01	318.57	748.61	312.0	0.0	0.59	2193.99
ANKRD1	23.76	40.64	555.41	1295.13	688.78	1111.82	12.0	361.04	75803.72
ASB10	0.0	0.0	11.04	32.82	297.17	114.36	0.0	0.0	291.04
BPIFC	1.83	16.75	73.03	239.52	173.85	647.07	0.0	0.09	40904.3
CACNA1S	0.0	1.17	78.34	175.07	974.5	423.61	0.0	0.0	2976.74
CAMK2B	29.7	2.71	32.59	109.66	343.89	242.88	0.0	0.45	1605.83
CASQ1	4.94	2.63	172.65	466.88	7857.29	3794.3	0.0	0.33	32315.87
CDSN	368.65	275.28	217.27	514.56	616.37	1605.83	0.0	0.0	1374046.07
CLCN1	2.48	4.94	2.76	7.17	92.7	32.59	0.0	0.06	234.57
CLEC4F	3.38	2.27	4.21	5.73	9.27	15.56	0.0	0.0	42.71
CMYA5	60.82	49.91	547.75	1498.22	6983.79	4419.52	0.0	0.43	21617.82
CXorf64	0.36	2.86	16.15	16.03	36.79	52.82	0.0	0.0	93.35
DDX25	0.4	2.39	0.88	4.28	4.86	6.06	0.0	0.13	18.97
DLX2	0.37	6.73	10.79	18.56	9.2	48.87	0.0	0.13	2758.13
DLX3	9.34	55.49	195.72	285.03	435.55	1322.37	0.0	0.1	7280.4
DNER	1.5	65.26	15.8	10.55	51.35	93.35	0.0	0.09	32994.92
DSC1	1.28	48.52	27.64	66.18	35.5	211.31	0.0	0.0	35856.82
DUSP27	8.58	1.62	85.22	162.14	532.74	341.51	0.0	0.0	1388.16
ENO3	92.05	71.5	1295.13	2104.58	31650.8	26431.04	0.0	1.36	100719.65
GLRA4	0.29	2.25	0.96	1.27	3.56	4.62	0.0	0.05	151.22
GPR83	0.36	0.75	0.4	1.11	1.5	1.87	0.0	0.13	9.41
GPRC5D	8.71	31.45	5.92	12.93	35.5	78.34	0.0	0.26	9876.98
GYS1	629.35	698.41	825.0	1096.5	1950.0	1369.04	0.0	0.39	2090.03
HES5	1.17	0.95	2.92	12.55	42.41	132.44	0.0	0.0	612.11
HOXC13	83.45	21.94	119.26	299.25	49.56	197.09	0.0	0.0	16157.44
JPH1	78.89	76.17	99.43	156.59	656.11	525.39	56.68	71.0	2555.58
JSRP1	5.19	53.57	156.59	525.39	1051.79	547.75	0.0	0.52	1359.57
KCNA7	0.0	0.27	15.11	31.9	153.34	69.03	0.0	0.0	297.17
KRT31	8.38	15.45	80.01	76.17	133.36	497.0	0.0	0.0	21617.82
KRT33A	0.0	2.39	0.79	1.1	6.11	148.09	0.0	0.0	2468.49
KRT33B	0.37	0.84	21.32	0.53	190.34	2133.97	0.0	0.0	7803.01
KRT34	0.38	6.78	38.12	46.5	78.89	2573.36	0.0	0.0	30572.63
KRT75	103.69	215.77	480.04	2875.3	684.02	1697.45	0.0	0.0	4589799.45
KRT77	0.0	3.86	0.38	23.93	2.41	4.06	0.0	0.0	23330.64
KRT84	0.0	0.15	1508.65	15.22	9673.69	35118.87	0.0	0.0	1005860.33
KRTAP13-2	0.0	0.0	20.11	5.02	1096.5	5147.73	0.0	0.0	9673.69
KRTAP3-1	1.1	1.14	67.12	1.16	186.4	2915.45	0.0	0.09	26614.89
LMOD2	0.0	2.61	353.59	854.13	5517.27	2209.26	0.0	0.22	10512.82
MAMSTR	50.27	16.03	43.94	53.57	279.14	226.54	0.0	0.36	212.78
MUSTN1	21.01	19.25	1008.9	5147.73	5076.84	2148.82	0.0	0.47	348306.01
MYBPC2	9.27	19.11	896.64	1572.76	2255.7	6294.04	0.0	0.17	100023.92
MYH15	0.0	5.73	5.11	8.38	22.75	16.27	0.0	0.0	22.26
MYH8	0.37	2.46	41.52	57.49	53.95	38.12	0.0	0.0	305.55
MYLPF	22.43	132.44	2609.3	4704.07	13123.73	20593.91	0.0	0.18	531605.79
NEU2	0.0	2.61	4.24	6.11	14.45	39.79	0.0	0.0	8191.0
NKPD1	1.13	4.7	14.14	12.0	29.06	80.57	0.0	0.28	125.24
PACSIN3	743.43	791.35	1023.0	1832.01	2816.11	2090.03	0.0	0.77	3467.27
PKIA	74.06	70.51	392.44	361.04	3190.46	1721.16	0.0	0.21	12676.65
PLA2G2F	3.47	7.11	5.59	241.19	18.56	55.49	0.0	0.14	45386.27
PNLIPRP3	4.7	81.14	143.01	397.93	85.22	384.34	0.0	0.0	14663.09
PRR9	0.74	18.43	70.01	96.01	176.29	2061.24	0.0	0.0	8744835.62
PSORS1C2	0.44	28.04	41.81	37.59	291.04	5183.54	0.0	0.35	182810.84
RBM24	8.58	11.38	114.36	283.05	638.15	348.71	0.0	0.2	1745.2
RRAD	158.79	104.42	1583.71	3515.68	2816.11	2032.85	0.0	0.48	59063.35
SBK3	1.66	3.23	7.63	7.57	38.4	22.26	0.0	0.17	30.56
SEMA6C	132.44	57.89	163.28	493.56	1259.69	693.58	0.0	0.59	1896.65
SRPK3	13.42	13.83	80.57	281.09	688.78	339.14	0.0	0.64	1883.54
TCHH	20.26	4.03	115.97	69.03	3060.45	24832.5	0.0	0.09	757033.75
TMEM52	26.86	12.36	55.1	129.69	1286.18	896.64	0.0	0.35	4937.99
TMOD4	4.03	2.05	165.57	476.71	2004.85	1388.16	0.0	0.11	5751.61
TNNC2	17.64	50.63	2434.5	5292.48	17927.91	42346.82	0.0	0.44	649962.87
TNNT3	8.99	199.85	4607.24	15715.58	13399.51	40621.74	0.0	0.48	531605.79
TRIM55	0.68	2.61	25.72	92.7	145.02	161.02	0.0	0.0	575.03
TTN	1.91	4.58	171.45	551.56	1674.06	1561.89	0.0	0.18	6121.9
TXLNB	41.22	18.29	100.83	201.25	1037.29	536.45	0.0	0.04	1896.65
XIRP2	0.0	0.62	633.73	1697.45	7280.4	3467.27	0.0	0.0	47642.77
YBX3	3303.0	7280.4	8022.41	11827.67	25179.16	29736.59	5255.91	3212.66	50011.46
YIPF7	1.48	1.25	23.25	55.49	141.02	112.77	0.0	0.0	679.29
ZNF556	16.51	18.56	12.36	24.81	47.17	21.94	0.0	0.0	71.5
