	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CR.6467.01A.11R.1873.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.62.A471.01A.12R.A24H.07	TCGA.56.A5DS.01A.11R.A27Q.07	TCGA.90.A4EE.01A.11R.A24Z.07	GTEX.13JVG.2926.SM.5J2N9	GTEX.13CF2.2426.SM.5LZYL
AAAS	684.02	2367.9	1733.13	769.69	0.0	0.48	1104.13	961.07	1286.18	954.43	915.51
AC010327.2	0.0	93.35	112.77	0.0	0.0	0.0	92.7	80.57	76.71	7.51	5.54
AC124890.1	0.0	51.71	9.7	2.23	0.0	0.3	11.64	9.48	10.24	3.06	1.62
ACTA1	1336472.68	214.27	6.31	482442.34	0.0	0.97	7.28	10.79	14.24	9025.81	8102860.22
ACVR1B	172.65	493.56	974.5	281.09	0.0	0.59	728.11	500.46	316.37	329.84	132.44
ADIPOR2	743.43	995.0	1233.75	656.11	0.0	0.34	884.29	967.76	1135.2	780.44	669.92
AGAP5	100.83	105.15	70.51	36.27	0.0	0.83	162.14	124.37	102.25	80.01	21.78
AGAP6	59.55	329.84	190.34	32.13	0.0	1.19	373.81	435.55	403.5	119.26	52.82
AGAP8	28.65	173.85	206.94	18.56	0.0	0.64	132.44	164.42	103.69	67.12	26.67
ANKLE2	551.56	2400.97	1268.46	473.41	0.0	0.8	1447.15	1350.18	1447.15	733.19	486.75
ANKRD32	46.84	186.4	166.73	28.45	0.0	0.35	264.03	69.03	80.57	26.1	27.25
ARHGAP11B	8.38	575.03	239.52	11.91	0.0	0.4	156.59	173.85	140.04	19.11	20.41
ARHGEF1	218.79	2303.12	1936.53	466.88	0.0	1.31	1909.85	2255.7	4328.55	1175.27	909.17
ASB9	20.86	27.44	194.36	70.51	0.0	0.12	215.77	50.27	142.01	43.63	39.79
ATPAF2	583.07	381.68	743.43	507.46	0.0	0.55	703.28	450.94	830.75	429.54	305.55
BLM	9.27	199.85	307.69	118.43	0.0	0.21	361.04	180.02	226.54	30.78	36.01
BRAP	332.14	361.04	470.14	283.05	0.0	0.43	314.17	273.37	309.83	154.42	228.13
BRAT1	185.11	1191.69	1111.82	348.71	0.0	0.69	579.04	860.08	1001.93	493.56	339.14
BUB1B	7.46	521.76	559.28	7.46	0.0	0.17	567.1	348.71	392.44	36.53	72.52
C17orf66	0.59	16.27	2.23	0.0	0.0	0.23	5.23	8.13	15.91	2.41	0.19
C6orf211	429.54	277.2	400.71	271.48	0.0	0.0	532.74	258.57	301.33	193.01	224.97
C6orf48	1015.93	5041.77	4123.49	2032.85	0.0	1.13	4388.98	2573.36	7230.1	1844.76	1233.75
C9orf139	0.0	17.0	5.28	0.0	0.0	0.52	4.54	11.21	19.39	1.48	0.78
CACNA2D4	23.93	94.67	51.35	40.93	0.0	0.51	53.57	57.08	145.02	9.56	20.26
CATSPER2	15.8	167.9	87.03	32.82	0.0	0.64	171.45	109.66	87.03	39.5	33.06
CCDC18	66.65	151.22	111.99	21.16	0.0	0.53	146.03	113.56	94.01	29.06	108.9
CCDC64	2.76	665.29	1191.69	34.75	0.0	0.57	1388.16	780.44	412.0	395.18	82.29
CCDC65	0.62	33.3	21.01	1.38	0.0	0.0	25.35	65.26	26.47	18.56	4.5
CCNA2	15.45	1044.52	1008.9	17.0	0.0	0.42	579.04	447.82	476.71	76.17	144.01
CCNB2	11.55	1896.65	1427.22	20.11	0.0	0.11	723.08	674.59	723.08	194.36	166.73
CDC6	8.51	825.0	842.36	17.38	503.95	265.87	842.36	529.06	555.41	98.73	59.13
CDK3	11.82	178.77	414.87	27.64	0.0	0.97	429.54	412.0	511.0	45.53	46.5
CDRT4	11.55	194.36	239.52	7.22	0.0	0.77	392.44	182.55	551.56	94.67	27.64
CEP152	10.08	157.68	136.19	18.16	31.22	87.65	100.13	78.89	95.34	60.39	21.63
CEP290	36.01	132.44	148.09	40.64	0.0	0.37	111.99	154.42	214.27	47.5	39.5
CHD3	157.68	2047.0	2816.11	674.59	351.14	1199.98	2645.74	1819.35	2485.67	1639.59	656.11
CR1L	1.06	10.39	49.21	0.0	0.0	0.06	39.79	3.76	9.93	4.31	0.0
CRLF2	0.55	5.11	13.93	1.19	0.0	0.07	19.39	3.38	2.25	0.92	1.16
CSMD1	0.51	13.62	50.98	2.32	0.0	0.02	51.35	38.95	15.91	10.63	0.18
CTD-2369P2.12	86.43	738.29	785.88	201.25	0.0	0.54	633.73	511.0	723.08	327.56	165.57
CUZD1	1.79	23.25	14.78	8.25	0.0	0.3	10.55	31.9	37.32	0.39	4.58
CWC27	435.55	395.18	607.87	305.55	0.0	0.42	262.2	246.28	447.82	169.07	441.64
DCST2	1.95	51.35	74.58	3.89	0.0	0.66	103.69	68.55	21.63	18.56	8.99
DDX23	884.29	1844.76	2303.12	947.83	0.0	0.83	2956.17	1769.57	1651.0	808.0	651.58
DIABLO	947.83	1757.34	2255.7	1104.13	0.0	0.67	2209.26	1457.23	1757.34	1066.48	1277.29
DLGAP5	8.51	366.09	358.54	9.2	0.0	0.0	273.37	271.48	165.57	57.89	75.64
DNA2	7.34	285.03	151.22	5.73	0.0	0.66	169.07	118.43	132.44	18.03	19.25
DNAJC9	127.0	723.08	974.5	170.25	0.0	0.65	532.74	543.96	371.22	181.28	249.73
DUS3L	155.5	738.29	1277.29	239.52	0.0	0.68	866.07	656.11	1540.37	309.83	397.93
EIF4E2	1397.83	1233.75	1794.29	1159.07	1143.1	301.33	1819.35	1639.59	1199.98	1151.06	1662.49
EXO1	10.71	343.89	379.04	1.66	0.0	0.06	397.93	112.77	346.29	27.25	31.0
EXT1	264.03	2701.35	1477.58	400.71	0.0	0.61	1561.89	2367.9	813.63	303.44	830.75
FABP2	0.0	1.87	0.36	0.0	0.0	0.01	0.66	0.37	0.0	0.0	0.0
FANCM	55.1	206.94	121.79	52.08	0.0	0.0	93.35	85.82	87.03	59.55	84.04
FBXO46	111.21	738.29	703.28	143.01	0.0	0.57	454.09	423.61	432.53	220.32	256.78
FGF17	0.0	22.26	47.17	0.0	0.0	0.62	48.87	16.63	133.36	3.53	0.96
FNTA	1304.15	2468.49	1991.0	1208.34	0.0	0.96	1286.18	1794.29	1250.98	409.15	1088.92
GATC	224.97	444.72	423.61	153.34	0.0	0.39	314.17	265.87	444.72	141.02	141.02
GGH	74.58	1508.65	2400.97	185.11	0.0	0.54	921.88	866.07	947.83	583.07	521.76
GLTSCR1	100.83	395.18	231.32	155.5	0.0	0.75	182.55	271.48	260.38	209.84	121.79
GMNN	189.02	764.36	934.76	148.09	0.0	0.6	1104.13	718.08	981.29	441.64	281.09
GOSR1	429.54	514.56	842.36	341.51	0.0	0.44	708.18	444.72	514.56	353.59	256.78
GPN3	1143.1	1044.52	995.0	813.63	0.0	0.24	698.41	412.0	665.29	277.2	470.14
HDAC7	339.14	1639.59	1008.9	684.02	0.0	0.92	1721.16	1250.98	961.07	872.1	785.88
HIST1H3I	0.0	11.38	12.0	0.0	0.0	0.12	5.19	2.94	18.03	0.0	0.0
HMGN3	1685.71	1991.0	4123.49	1806.78	0.0	0.57	6471.02	2935.74	3443.31	1950.0	3280.18
HNRNPU	2335.28	5872.48	4543.8	2609.3	3325.99	1477.58	4038.61	3955.48	5147.73	2573.36	2777.33
HSF2BP	3.76	34.02	104.42	13.22	0.0	0.21	88.88	28.45	30.34	15.0	36.27
HTRA4	0.0	16.75	6.31	0.0	0.0	0.05	4.82	8.78	52.82	0.58	0.0
