	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CM.4751.01A.02R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.S7SF.1926.SM.4AT5B	GTEX.S3XE.1126.SM.4AD4N	GTEX.P4PP.1426.SM.3NM9L	GTEX.YEC3.2426.SM.5IFJR	GTEX.U3ZM.1126.SM.4DXUB	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AF.3400.11A.01R.A32Z.07
ABHD17C	738.29	1030.12	305.55	1208.34	2384.37	1674.06	2976.74	1233.75	2032.85	277.2	80.01	231.32	0.0	0.74	1088.92
AOC1	5872.48	74243.68	902.89	2816.11	15285.81	7803.01	14561.8	6983.79	9025.81	457.25	0.0	2.97	0.0	0.15	1757.34
AQP8	15.91	27.44	30.56	20881.4	43236.64	32540.65	102836.01	1127.35	22850.48	0.93	1.45	12.55	0.0	0.02	1313.23
ATP10B	0.62	81.14	183.82	497.0	2855.44	1508.65	2855.44	1378.57	2609.3	0.89	0.0	0.49	0.0	0.24	283.05
B3GALT1	2.36	1.75	9.13	48.52	303.44	103.69	267.73	92.05	97.36	1.81	0.0	0.0	0.0	0.11	64.8
BEST2	0.0	0.0	89.51	146.03	2573.36	1233.75	4152.18	1991.0	4769.75	0.0	0.0	0.0	0.0	0.09	269.6
BEST4	78.89	1015.93	21.16	194.36	3168.41	1662.49	4298.64	947.83	2224.63	11.91	20.86	1.17	0.0	0.09	376.41
BTNL3	0.0	0.27	211.31	547.75	2739.08	1977.24	2739.08	591.22	1119.56	0.0	0.0	0.0	0.0	0.05	41.81
C5orf48	0.0	5.36	0.66	3.66	18.29	43.63	0.0	20.71	27.44	0.0	0.0	0.0	0.0	0.0	4.31
CA1	0.0	1.0	248.0	8479.89	201440.3	52135.28	211455.3	102836.01	46662.28	2.36	0.0	0.0	0.0	0.13	12160.22
CA7	1.81	0.0	18.84	132.44	6381.92	2935.74	8840.04	3303.0	4512.4	3.11	0.0	1.0	0.0	0.06	547.75
CASP5	3.41	11.04	115.16	273.37	796.86	669.92	764.36	327.56	371.22	4.98	3.0	1.46	0.0	0.01	118.43
CDH17	19.82	5.54	2384.37	2148.82	15715.58	10014.87	15715.58	7485.11	13215.02	11.13	0.0	0.62	0.0	0.08	3395.89
CDX2	0.0	0.27	153.34	3257.52	9740.98	3589.58	8479.89	6337.83	9215.48	0.0	0.0	0.0	0.0	0.0	1617.0
CKMT1B	318.57	612.11	669.92	2451.44	6426.31	3491.39	6121.9	5441.3	5329.3	260.38	0.0	9.13	0.0	0.33	2976.74
