	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.AO.A0J8.01A.21R.A034.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A8.A0A9.01A.11R.A00Z.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.EA.A3QE.01A.21R.A21T.07	TCGA.C5.A7CG.01A.11R.A32P.07	TCGA.LN.A49N.01A.11R.A24K.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.IN.AB1X.01A.11R.A39E.31
AC011897.1	31.0	3.26	8.13	6.84	397.93	854.13	101.54	30.34	172.65	86.43	0.0	0.41	47.5
ATG9B	25.35	24.99	10.24	39.22	7130.55	2271.4	1088.92	66.18	86.43	1769.57	0.0	0.56	397.93
ATP1B3	1572.76	928.3	1857.6	1844.76	17078.76	13123.73	9088.59	8078.22	17804.06	17437.64	0.0	1.0	2319.15
AVPI1	212.78	190.34	150.17	140.04	29943.43	2682.69	954.43	358.54	1909.85	358.54	0.0	0.39	532.74
BCL2L10	7.06	4.35	0.0	5.28	147.06	1216.75	139.07	50.98	166.73	80.57	0.0	0.27	7.0
BMP2	11.04	6.52	2.43	2.68	543.96	934.76	289.02	44.25	181.28	31.22	0.0	0.21	130.6
C10orf113	0.03	0.0	0.0	0.0	7.06	18.84	0.97	0.0	0.33	1.06	0.0	0.0	1.87
C15orf41	55.89	50.98	53.57	58.3	409.15	356.05	303.44	132.44	193.01	307.69	0.0	0.39	130.6
CARD17	12.09	11.38	0.0	0.0	1397.83	244.57	30.56	40.36	262.2	454.09	0.0	0.11	20.11
CEACAM19	29.27	26.28	9.27	24.63	1359.57	723.08	187.71	37.85	351.14	273.37	0.0	0.79	129.69
CIDEB	426.57	197.09	34.02	172.65	3874.05	6792.79	848.22	808.0	551.56	603.67	0.0	0.58	173.85
CLIP4	241.19	234.57	42.11	45.85	2997.45	1639.59	579.04	258.57	1242.34	813.63	0.0	0.75	253.23
COL21A1	29.27	2.71	2.12	6.94	85.82	808.0	14.14	57.08	163.28	78.34	0.0	0.57	16.63
