	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.KO.8411.01A.11R.2315.07	TCGA.B2.3923.01A.02R.1325.07	TCGA.B2.3923.01A.02R.A277.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13OVJ.0726.SM.5KM1W	GTEX.POYW.1226.SM.2XCEP	GTEX.ZYY3.0926.SM.5E454	GTEX.13OW5.0726.SM.5KLZK	GTEX.13O3P.1026.SM.5N9E7	GTEX.1477Z.0626.SM.5NQB7	GTEX.RTLS.0926.SM.2TF5X	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	TCGA.SL.A6J9.01A.11R.A31O.07
ACADL	0.0	3.32	0.0	273.37	22.26	0.47	819.3	1628.26	1498.22	713.11	0.0	0.1	37.32	281.09	114.36	104.42	54.72	209.84	389.72	41.52	241.19	2.56
ACKR4	11.21	4.28	14.24	348.71	4.74	7.75	182.55	503.95	532.74	283.05	0.0	0.04	39.79	215.77	49.21	120.1	33.06	339.14	295.11	297.17	343.89	9.78
AKAP6	2.61	3.96	0.66	73.03	11.73	3.59	201.25	400.71	642.59	392.44	0.0	0.15	38.4	85.82	173.85	49.91	43.63	85.82	151.22	39.79	66.18	11.55
AQP7	24.11	2.34	4.86	6337.83	6.57	1.14	447.82	1242.34	785.88	1008.9	0.0	0.13	12.55	15.11	12.18	40.07	37.85	32.59	212.78	3.92	54.33	1.06
ARHGAP6	8.45	13.83	5.19	132.44	17.77	10.08	1216.75	1447.15	1191.69	1242.34	0.0	0.49	43.32	624.99	256.78	226.54	273.37	420.68	454.09	167.9	381.68	2.97
BCL2L2	348.71	275.28	277.2	1037.29	633.73	318.57	995.0	1313.23	1066.48	1709.26	0.0	0.83	808.0	941.27	476.71	928.3	1457.23	1268.46	780.44	532.74	813.63	175.07
C15orf59	6.46	34.51	7.69	77.79	138.1	4.62	3372.43	2956.17	3639.7	3103.19	0.0	0.29	96.68	211.31	8.92	148.09	73.54	195.72	119.26	195.72	228.13	15.45
CFL2	249.73	170.25	190.34	1757.34	291.04	177.53	2701.35	2573.36	1572.76	1832.01	0.0	0.52	808.0	1216.75	825.0	1286.18	503.95	1417.35	2148.82	748.61	1111.82	260.38
CGNL1	8.38	24.63	1.31	320.8	35.25	6.11	1498.22	2537.92	2758.13	2271.4	0.0	0.16	28.65	473.41	236.21	194.36	133.36	629.35	934.76	161.02	500.46	12.09
CPQ	127.89	279.14	127.89	1991.0	206.94	195.72	2502.97	4388.98	4671.57	3491.39	0.0	0.61	381.68	1819.35	1340.84	1216.75	656.11	1250.98	1832.01	1044.52	1883.54	204.07
CYP11A1	1.99	1.03	1.97	55.1	2.23	1.31	616.37	579.04	293.07	559.28	0.0	0.16	24.99	14.24	22.26	36.53	45.53	14.45	218.79	3.56	31.0	1.75
DAB2IP	287.01	830.75	159.9	466.88	239.52	429.54	1651.0	2163.77	1208.34	2682.69	0.0	0.67	366.09	379.04	2061.24	860.08	748.61	1135.2	872.1	934.76	1073.91	205.5
