	TCGA.BH.A0HF.01A.11R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.11ZUS.2526.SM.59872	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.34.2608.01A.02R.0851.07	TCGA.18.3412.01A.01R.0980.07	TCGA.66.2737.01A.01R.0980.07	TCGA.77.8130.01A.11R.2247.07
AC020907.1	55.89	226.54	72.01	1.31	0.04	0.87	0.0	0.3	9.7	381.68	38.12	19.11
ACPP	151.22	2004.85	2835.7	5.11	2.56	0.13	0.0	0.0	186.4	759.08	93.35	34.75
ALG13	1733.13	309.83	785.88	241.19	381.68	361.04	0.0	0.82	759.08	7032.37	1044.52	329.84
AMMECR1	287.01	460.44	348.71	33.54	25.72	23.93	197.09	136.19	162.14	1832.01	176.29	124.37
ARAP1	1127.35	1023.0	769.69	450.94	173.85	307.69	0.0	0.77	1277.29	1322.37	1127.35	909.17
ARL2BP	1487.87	1175.27	1340.84	567.1	239.52	127.89	0.0	0.16	1674.06	1923.14	2047.0	961.07
ARMCX5	327.56	150.17	301.33	49.56	44.57	34.51	0.0	0.32	149.12	954.43	185.11	75.11
ARMCX6	1896.65	1233.75	813.63	110.43	10.0	253.23	0.0	0.69	1529.73	5076.84	1844.76	748.61
ATL2	728.11	2047.0	1191.69	392.44	336.79	406.31	0.0	0.73	1242.34	1781.89	1135.2	343.89
ATP13A4	105.89	11909.94	13033.07	15.8	84.04	5.92	0.0	0.45	149.12	490.14	53.19	52.08
B4GALNT2	51.35	0.0	0.0	0.0	11.21	0.0	0.0	0.0	19.39	183.82	17.77	58.3
BOD1	1081.39	327.56	1295.13	1143.1	674.59	547.75	0.0	0.91	1119.56	2520.38	1639.59	854.13
C1GALT1C1	1073.91	718.08	651.58	175.07	368.65	299.25	0.0	0.28	571.05	3103.19	638.15	214.27
C6orf132	1151.06	9409.14	5791.62	9.48	14.24	5.41	332.14	265.87	379.04	2701.35	429.54	507.46
CCL17	50.98	1896.65	748.61	0.0	10.55	0.0	0.0	0.0	91.41	214.27	41.22	22.59
CDC23	441.64	358.54	473.41	154.42	92.05	78.89	0.0	0.46	320.8	514.56	387.02	246.28
CENPI	81.14	102.97	18.43	0.38	20.56	2.01	0.0	0.22	44.89	703.28	180.02	28.45
CHM	339.14	176.29	139.07	102.97	105.15	98.04	0.0	0.45	239.52	1051.79	191.67	127.89
CMPK1	2224.63	4836.35	3349.13	2061.24	2061.24	1191.69	0.0	0.79	1794.29	1909.85	1697.45	1457.23
CNOT8	1119.56	1259.69	1233.75	211.31	147.06	236.21	0.0	0.69	902.89	1340.84	872.1	583.07
CSTF2	830.75	400.71	373.81	38.12	51.35	46.18	0.0	0.03	287.01	3794.3	373.81	229.72
CXorf56	536.45	220.32	429.54	242.88	123.5	120.1	438.59	500.46	348.71	2178.83	406.31	167.9
FAM199X	387.02	202.66	142.01	57.89	102.25	58.71	0.0	0.47	291.04	836.53	237.86	100.83
FXYD3	102125.66	1171559.48	1131651.83	41.81	279.14	0.84	5633.22	954.43	29943.43	386469.83	35609.13	15824.9
GLA	2400.97	1167.14	470.14	102.97	409.15	480.04	0.0	0.55	1051.79	8134.41	3372.43	351.14
GOLGA6L9	23.59	3.79	0.0	0.0	0.54	0.0	0.0	0.0	0.0	125.24	0.0	0.0
GSTM5	2609.3	67.59	753.83	32.59	38.12	39.79	0.0	0.21	111.99	18819.27	79.45	65.72
HNRNPH2	2976.74	2537.92	1628.26	521.76	961.07	1111.82	0.0	0.79	1322.37	4328.55	1322.37	896.64
HOPX	1250.98	59887.86	24660.96	60.39	47.84	47.84	0.0	0.92	2976.74	6699.25	2104.58	1073.91
IGFBPL1	7.4	0.0	0.0	0.0	12.18	0.0	0.0	0.0	12.27	106.63	20.86	2.14
IL36A	58.71	38697.77	11189.6	0.0	0.0	0.0	0.0	0.0	6.94	303.44	3.32	2.25
IQCG	241.19	137.14	133.36	19.68	12.83	23.25	0.0	0.12	438.59	242.88	1135.2	104.42
KCNMB2	44.25	14.24	7.94	0.0	0.0	4.28	0.0	0.0	29.7	170.25	38.12	5.28
KIAA1191	1583.71	2935.74	2061.24	1286.18	656.11	836.53	1151.06	158.79	1397.83	1709.26	1662.49	995.0
KLHL13	249.73	1.91	12.27	69.52	18.29	20.26	0.0	0.3	142.01	1233.75	241.19	29.48
KLHL4	54.72	0.0	8.0	1.19	1.87	3.59	0.0	0.0	14.14	239.52	9.85	3.35
KLK13	346.29	3478417.29	602247.76	3.41	7.75	1.01	0.0	0.01	229.72	2061.24	121.79	1359.57
KRT24	27.05	65535.0	100023.92	0.34	1.41	0.26	0.0	0.06	1.08	127.0	1.33	1.75
KRT3	3.06	2193.99	77.79	0.0	0.0	0.0	0.0	0.09	1.11	21.78	17.9	1.46
KRT33A	0.0	329.84	368.65	0.0	0.0	0.0	0.0	0.0	1.85	36.79	2.05	1.53
KRT4	4869.99	3.697379928E7	1656835.72	4.86	17.77	6.21	0.0	0.0	190.34	16496.96	397.93	116.78
KRT6A	11992.79	2.01760973986E9	2.41604469791E9	3.76	47.17	2.46	0.0	1.17	40341.14	73221.53	62431.08	124000.67
KRT72	2.46	2.12	0.47	1.46	2.01	2.07	0.0	0.0	2.61	6.73	3.59	0.0
KRT78	36.79	164758.26	26614.89	2.1	1.68	0.73	0.0	0.39	23.42	503.95	30.12	166.73
LAMP2	4181.07	5633.22	4152.18	1322.37	1757.34	1662.49	3018.3	2682.69	3639.7	8901.53	3168.41	3419.52
LHFPL1	32.59	4.35	0.0	0.0	0.0	0.0	0.0	0.08	14.56	121.79	8.06	0.82
LRFN2	5.5	5.32	3.35	0.0	0.0	0.0	0.0	0.0	1.43	5.87	1.64	1.45
MAGT1	928.3	947.83	909.17	718.08	638.15	575.03	1216.75	100.83	1447.15	1896.65	1896.65	660.68
MAP3K8	204.07	532.74	507.46	28.24	180.02	718.08	0.0	0.49	389.72	830.75	249.73	215.77
MAPK9	674.59	366.09	403.5	115.97	115.97	96.01	0.0	0.65	379.04	381.68	490.14	267.73
MCEE	1001.93	842.36	848.22	642.59	417.77	384.34	0.0	0.35	450.94	743.43	454.09	277.2
MCTS1	2240.11	1963.57	1498.22	543.96	638.15	629.35	0.0	0.43	1259.69	8479.89	1923.14	698.41
MID2	267.73	143.01	172.65	26.67	24.81	71.0	0.0	0.41	166.73	941.27	226.54	63.45
MORF4L2	12943.04	3955.48	5441.3	2047.0	3928.15	3419.52	6887.62	277.2	6935.54	24660.96	9945.68	4123.49
MPP4	11.21	2.97	7.57	0.89	0.0	0.87	0.0	0.24	1.11	67.59	4.21	6.62
MUC20	854.13	13776.25	1583.71	389.72	103.69	283.05	0.0	0.59	638.15	4481.23	2739.08	87.03
NDUFA1	5831.91	3018.3	4450.27	2240.11	1617.0	2816.11	0.0	0.8	3768.09	17927.91	3982.99	2018.8
NKAP	483.38	212.78	262.2	111.21	159.9	148.09	0.0	0.54	265.87	1583.71	397.93	246.28
NKRF	198.47	169.07	194.36	105.89	139.07	125.24	0.0	0.39	149.12	780.44	262.2	83.45
NOA1	379.04	444.72	329.84	79.45	61.25	39.22	0.0	0.33	260.38	688.78	293.07	141.02
NRK	15.68	0.0	0.0	0.38	0.0	3.47	0.0	0.32	10.31	61.68	29.91	4.86
NUP62CL	159.9	140.04	130.6	18.56	0.68	7.34	0.0	0.0	37.32	423.61	75.64	11.73
NXT2	703.28	361.04	400.71	128.79	52.45	40.07	0.0	0.26	325.29	2520.38	318.57	106.63
OPHN1	59.97	41.52	41.81	3.5	3.06	3.89	0.0	0.33	39.5	65.72	61.68	26.1
P2RY6	131.51	58.71	27.64	4.35	3.53	10.16	0.0	0.39	180.02	651.58	102.97	105.89
PAAF1	878.17	420.68	376.41	269.6	146.03	262.2	0.0	0.41	507.46	2178.83	638.15	223.41
PCBD2	241.19	249.73	201.25	133.36	46.84	66.18	0.0	0.03	131.51	432.53	158.79	63.0
PDZD11	2148.82	1936.53	1794.29	249.73	348.71	373.81	0.0	0.44	1639.59	3081.75	1519.15	947.83
PGRMC1	3874.05	2502.97	4481.23	7911.95	5555.65	6294.04	0.0	0.74	1977.24	13306.94	3325.99	1551.09
PLAC1	75.11	24.99	0.0	0.0	0.0	0.0	0.0	0.3	3.72	450.94	26.28	32.13
PLS3	3443.31	3768.09	3395.89	878.17	4181.07	2351.53	0.0	0.83	4769.75	15075.35	4543.8	2976.74
POLR2B	1199.98	698.41	1143.1	389.72	629.35	420.68	0.0	1.07	1008.9	1685.71	1359.57	860.08
POLR3K	624.99	211.31	206.94	195.72	109.66	102.25	0.0	0.0	341.51	890.44	620.67	189.02
