	TCGA.KL.8324.11A.01R.2315.07	TCGA.AL.3467.01A.02R.1351.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6132.11A.01R.1965.07	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.14BMU.1826.SM.5RQII	GTEX.ZLWG.1026.SM.4WWC4	GTEX.U3ZN.0726.SM.4DXT5
AC016722.2	21.16	33.3	14.67	8.32	2.56	14.56	1.28	1.03	3.86	0.0	10.24	503.95	5.15	29.48	35.25
AC023632.1	0.33	0.93	0.38	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	1.06
AC027307.3	8.85	25.72	8.51	6.16	1.66	0.0	2.18	2.27	1.14	0.0	0.0	0.0	18.56	36.53	49.56
AGBL5	796.86	1295.13	848.22	796.86	275.28	255.0	258.57	285.03	135.24	441.64	155.5	182.55	607.87	432.53	860.08
AL591479.1	43.63	117.6	29.27	46.5	15.22	11.13	12.09	12.83	9.48	10.39	0.0	0.01	80.01	111.99	204.07
AP3M1	463.65	902.89	463.65	497.0	483.38	384.34	441.64	334.46	171.45	470.14	0.0	0.41	473.41	563.18	941.27
AP4S1	181.28	406.31	150.17	121.79	85.82	32.82	66.18	98.04	70.51	58.71	0.0	0.35	256.78	223.41	332.14
ARHGEF33	5.32	45.85	20.71	11.38	0.17	10.39	0.16	2.97	2.34	3.5	0.0	0.35	42.11	42.41	50.63
ARMC4	6.89	182.55	7.46	10.24	15.34	16.03	16.88	21.63	0.52	2.53	0.0	0.0	20.41	104.42	175.07
ASPRV1	34.75	63.89	44.25	33.06	21.32	16.03	23.08	21.94	19.53	6.62	0.0	0.36	70.51	44.89	118.43
ASTN2	140.04	629.35	130.6	166.73	61.25	101.54	120.94	34.26	58.71	77.25	0.0	0.17	518.15	68.55	126.12
BCAS3	429.54	941.27	454.09	432.53	371.22	329.84	412.0	371.22	309.83	246.28	0.0	0.41	389.72	341.51	514.56
BHLHB9	79.45	143.01	92.05	72.52	67.59	40.64	30.78	47.5	7.51	139.07	0.0	0.16	129.69	76.17	169.07
C11orf57	371.22	848.22	397.93	371.22	251.48	241.19	264.03	314.17	120.1	267.73	356.05	104.42	629.35	412.0	909.17
C15orf65	133.36	384.34	125.24	138.1	12.27	13.22	25.54	8.13	5.96	31.0	0.0	0.0	198.47	109.66	214.27
C19orf44	120.1	299.25	120.1	121.79	38.67	57.89	68.07	90.14	36.53	50.27	0.0	0.13	126.12	167.9	305.55
C20orf96	249.73	753.83	239.52	267.73	54.33	54.33	81.14	98.73	28.65	66.65	129.69	432.53	669.92	444.72	708.18
C5orf63	78.89	271.48	94.01	88.88	41.22	73.03	35.76	85.22	36.53	43.63	0.0	0.13	295.11	223.41	108.9
CABLES1	329.84	769.69	373.81	432.53	291.04	69.52	194.36	176.29	123.5	127.89	0.0	0.32	204.07	166.73	1081.39
CCDC103	123.5	356.05	121.79	217.27	40.07	48.52	28.24	36.27	6.31	4.31	0.0	0.0	77.25	98.04	281.09
CCDC170	33.54	241.19	6.67	46.84	24.99	11.38	15.22	27.05	8.38	15.11	0.0	0.0	301.33	120.1	98.73
CCDC96	52.82	189.02	42.41	54.33	10.47	21.94	16.39	16.51	9.93	15.91	0.0	0.0	178.77	111.21	94.67
CCL27	1.66	21.16	2.63	3.44	0.0	0.0	0.0	5.77	9.63	0.0	0.0	0.14	8.58	9.93	17.9
CETN2	1950.0	7589.61	1437.15	1697.45	480.04	392.44	483.38	432.53	493.56	473.41	0.0	0.0	2855.44	3146.52	2739.08
CNOT4	212.78	432.53	287.01	283.05	190.34	172.65	186.4	127.0	47.84	190.34	0.0	0.44	323.03	223.41	417.77
DCHS2	6.21	64.34	3.72	7.46	4.24	0.39	4.21	5.41	0.41	5.45	0.0	0.14	44.25	30.12	133.36
DHX40	753.83	1295.13	718.08	738.29	518.15	312.0	232.94	325.29	253.23	295.11	0.0	0.48	708.18	450.94	1572.76
DKFZP434H0512	2.32	4.98	0.38	5.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	2.05	0.0
DOK5	111.99	379.04	195.72	113.56	14.56	19.82	6.73	7.94	7.75	13.22	0.0	0.16	155.5	28.45	265.87
EFCAB7	108.9	312.0	133.36	96.01	24.81	27.44	20.71	34.02	10.79	46.18	0.0	0.0	127.0	124.37	255.0
EFHC2	74.06	842.36	59.13	66.18	0.0	3.41	0.0	1.51	1.46	0.0	0.0	0.0	738.29	74.06	163.28
EIF2D	995.0	1529.73	1044.52	928.3	759.08	728.11	660.68	866.07	599.49	854.13	0.0	0.55	1191.69	1295.13	1605.83
ENKD1	529.06	1088.92	703.28	785.88	198.47	165.57	232.94	325.29	158.79	161.02	0.0	0.65	660.68	1119.56	825.0
