	GTEX.1399R.2226.SM.5P9JB	GTEX.Q734.1126.SM.48TZY	GTEX.R53T.1326.SM.48FCQ	GTEX.13S86.1626.SM.5Q5C5	GTEX.117YW.1826.SM.5PNY5	GTEX.UJHI.1126.SM.4IHLN	GTEX.139YR.2126.SM.5KM11	GTEX.Y3IK.1826.SM.4WWDS	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.12KS4.1326.SM.5LUB3	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11O72.1326.SM.5BC5A
AC136297.1	616.37	113.56	332.14	153.34	133.36	583.07	0.0	373.81	0.0	1519.15	0.0	0.0	70.01
ACSF3	1427.22	1159.07	981.29	802.41	647.07	1259.69	1081.39	1447.15	314.17	679.29	0.0	0.43	221.86
ADCK5	703.28	575.03	423.61	540.19	218.79	624.99	497.0	688.78	96.68	177.53	0.0	0.64	61.68
ATG4D	2573.36	1721.16	1529.73	2004.85	1457.23	2351.53	1639.59	1896.65	397.93	323.03	0.0	0.97	255.0
ATP5J2	29736.59	21026.65	17681.08	22692.63	14765.09	19482.97	20451.65	31650.8	6745.86	23492.92	0.0	1.06	6426.31
AURKAIP1	8479.89	4607.24	3901.01	5255.91	2935.74	6037.61	3564.78	6840.04	1697.45	5517.27	0.0	0.75	1159.07
AXIN1	902.89	591.22	723.08	878.17	450.94	808.0	616.37	620.67	316.37	175.07	0.0	0.79	277.2
BUD13	454.09	234.57	400.71	351.14	144.01	323.03	309.83	320.8	262.2	180.02	0.0	0.51	295.11
C11orf83	928.3	563.18	540.19	591.22	318.57	490.14	507.46	860.08	98.04	234.57	218.79	170.25	71.0
C12orf52	607.87	438.59	368.65	483.38	208.38	432.53	346.29	429.54	182.55	540.19	0.0	0.0	89.51
C17orf97	303.44	102.97	87.65	293.07	20.86	229.72	199.85	417.77	48.18	68.07	0.0	0.0	77.79
CAMSAP3	1388.16	1208.34	1051.79	1331.57	703.28	1350.18	1096.5	928.3	9.93	507.46	0.0	0.03	54.72
CD207	57.49	30.12	31.9	5.68	22.43	65.72	12.83	21.01	4.06	6.52	0.0	0.0	0.0
CDK20	346.29	185.11	299.25	366.09	61.25	167.9	153.34	165.57	91.41	29.27	0.0	0.31	92.7
CHMP1A	3665.02	2956.17	2537.92	2335.28	1936.53	3349.13	2855.44	2816.11	961.07	981.29	0.0	0.89	836.53
CISD3	6652.97	3039.3	3515.68	4419.52	2287.2	3955.48	2609.3	4736.79	633.73	5594.3	0.0	0.38	511.0
COA3	9876.98	5633.22	5711.87	6079.61	3467.27	6207.38	5872.48	8658.09	1135.2	5711.87	0.0	0.22	1359.57
COASY	2835.7	1857.6	2240.11	2451.44	1015.93	2335.28	2178.83	1991.0	884.29	1313.23	0.0	0.71	309.83
CORT	40.36	9.27	19.39	25.17	21.32	35.0	17.13	8.25	7.34	6.73	0.0	0.16	2.25
DCTPP1	4972.34	2645.74	3515.68	3257.52	2090.03	3395.89	2627.46	4450.27	473.41	500.46	0.0	0.26	426.57
ECH1	15715.58	10084.54	11112.3	14361.31	12244.81	12943.04	10296.45	16727.26	3639.7	21468.49	0.0	0.58	2664.15
EMC9	1242.34	825.0	785.88	866.07	532.74	830.75	738.29	1143.1	260.38	595.34	0.0	0.78	353.59
ETFDH	1447.15	1286.18	1167.14	1427.22	842.36	1427.22	1208.34	1135.2	674.59	2935.74	234.57	132.44	457.25
F12	791.35	470.14	525.39	540.19	346.29	518.15	559.28	403.5	18.7	6207.38	0.0	0.66	8.06
FABP1	2011721.67	925580.18	851707.37	919186.72	711250.37	1034138.94	1019901.63	1238359.56	33.3	5420519.65	0.0	0.0	52.45
FAHD1	1991.0	1313.23	1388.16	1397.83	660.68	1259.69	1277.29	1651.0	389.72	1183.45	444.72	1183.45	214.27
FAM173A	1561.89	769.69	571.05	854.13	435.55	866.07	665.29	1467.37	241.19	607.87	0.0	0.55	175.07
FAM195A	5517.27	3372.43	3018.3	4358.66	2335.28	3768.09	2997.45	3540.14	532.74	2520.38	0.0	0.52	218.79
FAM21D	1001.93	633.73	587.13	412.0	320.8	808.0	392.44	669.92	379.04	412.0	0.0	0.28	220.32
FOXE3	22.92	2.53	7.46	11.38	3.47	11.91	6.62	4.1	0.77	0.0	0.0	0.13	0.0
GEMIN7	1233.75	941.27	878.17	974.5	473.41	633.73	688.78	995.0	295.11	854.13	0.0	0.07	197.09
GSDMD	4607.24	3419.52	3614.55	4575.41	967.76	4239.45	3443.31	3665.02	884.29	2335.28	2935.74	146.03	2240.11
H2AFX	2367.9	1388.16	1437.15	1388.16	802.41	1487.87	1175.27	1769.57	406.31	860.08	432.53	638.15	198.47
HMCES	1457.23	947.83	1143.1	1143.1	1008.9	1135.2	1030.12	884.29	587.13	1233.75	0.0	0.88	890.44
IMP3	1896.65	1199.98	1467.37	1508.65	460.44	1498.22	1397.83	1508.65	612.11	1427.22	0.0	0.0	708.18
INTS1	2090.03	947.83	1250.98	1104.13	764.36	1417.35	1159.07	1159.07	698.41	1369.04	0.0	1.03	1088.92
ITFG3	4802.93	2133.97	1769.57	2287.2	1008.9	2335.28	1487.87	2701.35	1757.34	954.43	1104.13	159.9	503.95
LENG9	470.14	334.46	269.6	211.31	163.28	379.04	341.51	368.65	157.68	63.89	0.0	0.16	41.22
LSM7	6294.04	4937.99	4450.27	5329.3	3349.13	4358.66	4181.07	5672.41	954.43	2555.58	0.0	0.79	1583.71
MAD2L1BP	1477.58	1104.13	1167.14	878.17	780.44	1208.34	981.29	1015.93	432.53	395.18	0.0	0.02	339.14
MGST2	6426.31	4481.23	3982.99	4836.35	3325.99	4181.07	4419.52	6037.61	703.28	10014.87	0.0	0.52	1605.83
MRPS11	2895.31	1639.59	1769.57	1561.89	802.41	1757.34	1487.87	2367.9	599.49	1437.15	0.0	0.21	327.56
MRPS12	2701.35	1498.22	1651.0	1781.89	890.44	1745.2	1259.69	2417.67	583.07	1088.92	0.0	0.39	260.38
MRPS14	909.17	563.18	624.99	733.19	303.44	624.99	583.07	860.08	444.72	819.3	0.0	0.48	447.82
MRPS36	2664.15	2075.59	1909.85	2224.63	1096.5	2417.67	1832.01	2502.97	941.27	2537.92	1051.79	336.79	603.67
MRPS7	3235.01	2148.82	2271.4	2303.12	1151.06	2400.97	1697.45	3060.45	1081.39	1561.89	0.0	0.52	791.35
MXD3	371.22	241.19	242.88	248.0	237.86	314.17	249.73	438.59	143.01	164.42	0.0	1.16	65.26
NDUFB11	7433.4	3349.13	3190.46	4123.49	2367.9	3303.0	2664.15	4869.99	1167.14	6121.9	0.0	0.82	1008.9
NDUFC1	7803.01	5006.93	4736.79	5555.65	4066.71	5594.3	4419.52	7803.01	2075.59	7857.29	0.0	0.78	4419.52
NDUFS6	4869.99	2816.11	2075.59	3146.52	2384.37	3103.19	2351.53	3491.39	1119.56	2018.8	0.0	0.77	698.41
NOSIP	4010.71	2434.5	2335.28	2400.97	1023.0	2664.15	2018.8	3146.52	665.29	1498.22	0.0	0.8	1037.29
OCEL1	1674.06	872.1	1216.75	1427.22	813.63	1883.54	1104.13	1397.83	441.64	1359.57	0.0	0.43	303.44
OTOP2	4937.99	2502.97	1447.15	1066.48	1437.15	3257.52	1794.29	2417.67	0.0	0.0	0.0	0.0	0.0
POLR2L	7911.95	4802.93	3564.78	5041.77	2351.53	4298.64	3235.01	3928.15	2303.12	4869.99	0.0	0.54	3443.31
PRR15	10659.59	6699.25	5751.61	5076.84	5751.61	8901.53	7180.15	8598.28	0.93	0.0	0.0	0.0	29.27
QTRT1	4010.71	2335.28	2682.69	2739.08	1617.0	3280.18	2104.58	3794.3	684.02	1051.79	0.0	0.99	387.02
RAB32	3349.13	1561.89	2075.59	2520.38	1183.45	1832.01	1857.6	2555.58	941.27	1023.0	0.0	0.58	1417.35
ROPN1	21.63	6.84	13.52	7.94	2.86	14.35	9.56	20.11	0.85	5.87	0.0	0.06	1.75
RP11-87C12.2	16.15	5.59	7.06	13.12	4.5	7.28	9.48	10.31	1.93	10.71	0.0	0.38	5.23
RPUSD1	708.18	507.46	511.0	595.34	165.57	603.67	454.09	476.71	172.65	191.67	0.0	0.01	71.0
SAC3D1	764.36	435.55	376.41	486.75	133.36	429.54	403.5	348.71	95.34	363.56	0.0	0.0	67.59
SCO2	3742.05	2018.8	2335.28	2303.12	954.43	2319.15	2061.24	2319.15	417.77	1322.37	0.0	0.41	633.73
SLC25A1	3982.99	3349.13	2758.13	2720.15	2351.53	3540.14	3540.14	2816.11	679.29	2384.37	0.0	0.57	454.09
SLC25A20	2209.26	1023.0	1167.14	1662.49	660.68	2032.85	1191.69	1457.23	536.45	1819.35	0.0	0.24	226.54
SLC25A41	27.44	16.51	13.42	31.45	3.86	6.06	5.5	6.11	0.42	6.06	0.0	0.13	4.43
SLC27A4	2935.74	1051.79	1250.98	1183.45	607.87	1331.57	1044.52	1561.89	279.14	587.13	0.0	0.2	161.02
SPATA9	18.97	16.51	15.0	14.78	0.68	18.29	10.08	4.39	4.98	5.06	0.0	0.22	5.82
SPNS1	743.43	713.11	599.49	703.28	444.72	723.08	656.11	679.29	540.19	406.31	0.0	0.56	476.71
SRI	61999.83	26248.46	27938.14	25005.23	25887.07	43537.38	29736.59	29327.18	2384.37	2047.0	6935.54	693.58	3467.27
SSNA1	2915.45	2075.59	1896.65	2816.11	1096.5	2895.31	2104.58	2520.38	934.76	1477.58	0.0	0.26	808.0
SUPV3L1	884.29	555.41	688.78	884.29	490.14	909.17	656.11	769.69	429.54	785.88	0.0	0.65	361.04
THEM6	1044.52	591.22	738.29	521.76	208.38	624.99	674.59	928.3	125.24	660.68	0.0	0.1	110.43
TMEM138	1628.26	1135.2	1369.04	1233.75	571.05	1151.06	915.51	1268.46	866.07	860.08	0.0	0.67	629.35
TNNC2	915.51	224.97	164.42	314.17	100.13	909.17	244.57	1175.27	78.89	5.15	0.0	0.44	72.01
TRUB2	981.29	708.18	802.41	785.88	356.05	679.29	669.92	947.83	295.11	872.1	0.0	0.0	146.03
TSEN54	1359.57	1151.06	1286.18	1331.57	1015.93	1447.15	1081.39	1127.35	305.55	507.46	0.0	0.56	995.0
UBL5	21919.61	14663.09	10225.32	12676.65	7230.1	12415.75	10733.74	21468.49	5751.61	18178.19	0.0	1.2	10440.2
UQCR10	11345.82	6699.25	6164.49	6745.86	5112.16	7642.41	5831.91	9740.98	1662.49	5594.3	0.0	0.56	2209.26
YDJC	830.75	518.15	647.07	612.11	420.68	684.02	624.99	780.44	228.13	198.47	0.0	0.67	120.1
