	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.G9.6351.01A.21R.1965.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.V955.1826.SM.4JBIL	GTEX.ZVP2.0826.SM.59HJ6	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.SJXC.2026.SM.4DM6N	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.7704.11A.01R.2055.13	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13QJ3.2726.SM.5SI6L	GTEX.14BMV.2226.SM.5RQHX	GTEX.139D8.2326.SM.5IFGE
AADACL4	0.0	0.05	0.0	0.0	0.79	0.0	0.69	0.0	3.76	0.67	0.0	1.27	0.68	8.92	1.35	1.0	0.0	0.11	5.5	5.36	5.92	1.66	7.69	3.56	1.39
ABCA9	0.0	0.28	8.65	2.61	10.55	6.36	2.94	6.06	16.63	10.88	19.25	8.99	7.51	49.56	22.75	7.0	10.16	5.36	21.32	379.04	460.44	176.29	656.11	217.27	318.57
ABCB5	0.0	0.0	0.92	0.27	1.01	2.86	0.0	1.97	1.25	1.27	0.62	0.64	0.51	19.97	2.68	2.73	1.41	0.89	3.14	28.65	44.57	11.04	12.64	76.17	32.82
ABLIM1	0.0	0.64	191.67	28.86	277.2	96.01	100.13	195.72	329.84	249.73	432.53	253.23	299.25	961.07	529.06	176.29	260.38	171.45	890.44	1857.6	1487.87	1628.26	4095.0	1322.37	1359.57
ATP10D	0.0	0.62	102.25	23.59	163.28	92.7	102.97	118.43	212.78	158.79	223.41	178.77	151.22	246.28	197.09	126.12	143.01	80.01	246.28	241.19	228.13	343.89	981.29	426.57	470.14
C12orf39	0.0	0.06	7.22	0.0	0.29	0.27	2.25	1.6	1.51	0.28	3.38	0.93	2.58	10.47	10.16	4.28	7.0	0.0	1.51	20.71	61.68	55.49	9.34	113.56	48.52
C3orf55	0.0	0.57	8.51	3.29	19.39	8.78	43.02	7.51	8.92	30.34	21.47	13.62	18.43	105.89	47.17	8.06	11.47	31.9	30.78	39.22	96.01	165.57	555.41	185.11	684.02
C9orf47	0.0	0.18	2.76	2.56	5.82	3.29	3.79	4.7	7.88	5.82	7.51	7.28	3.35	20.41	8.06	5.59	1.83	2.76	10.79	34.26	30.34	24.99	53.19	47.5	18.16
CCDC39	0.0	0.3	3.29	1.83	13.62	8.45	1.48	2.46	8.06	6.89	7.69	4.24	5.23	25.54	5.23	2.43	6.78	1.99	7.94	44.89	22.26	17.9	77.79	43.32	18.84
COL11A1	0.0	0.39	2.27	0.79	0.92	0.0	0.0	0.0	13.72	1.58	7.88	1.97	5.15	44.57	9.06	2.27	1.64	5.28	18.03	33.54	5.36	58.71	48.52	11.47	4.35
DAZL	0.0	0.04	0.41	0.0	0.45	0.0	0.0	0.0	4.98	0.43	0.0	0.0	0.0	21.63	2.01	0.0	0.78	0.0	4.24	7.57	1.57	7.63	5.23	84.04	6.62
ESR1	0.0	0.39	35.5	4.21	88.26	33.3	17.64	33.3	149.12	94.01	73.54	35.5	112.77	463.65	167.9	50.98	22.43	46.84	239.52	76.71	60.82	199.85	232.94	190.34	69.03
FAM150B	0.0	0.52	10.88	8.51	31.22	4.7	32.82	14.35	55.89	36.53	28.45	25.91	12.55	217.27	97.36	3.89	18.56	6.67	48.87	21.47	95.34	24.11	66.18	49.21	95.34
FAM180B	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.4	0.39	0.39	0.39	1.48	0.41	7.63	1.64	0.0	0.93	0.0	1.83	31.67	138.1	100.13	47.84	273.37	20.71
FHL5	0.0	0.24	12.74	1.85	119.26	16.15	43.32	28.65	120.94	36.27	28.24	31.67	27.64	193.01	161.02	12.83	35.0	20.71	143.01	195.72	120.94	226.54	237.86	211.31	265.87
FIBIN	0.0	0.07	153.34	1.16	152.28	45.21	141.02	144.01	94.01	145.02	177.53	205.5	214.27	1066.48	780.44	82.87	53.95	41.22	232.94	457.25	507.46	836.53	1051.79	414.87	397.93
FIGF	0.0	0.21	4.94	1.45	11.47	6.41	8.78	4.78	13.93	5.06	4.13	13.12	6.62	41.22	21.01	6.84	5.5	5.54	48.87	63.89	435.55	647.07	1037.29	463.65	463.65
FMN1	0.0	0.31	36.53	4.06	31.9	33.78	11.82	21.16	63.45	74.58	52.45	25.91	15.91	264.03	87.03	26.28	61.68	64.8	69.03	84.63	92.7	40.93	78.89	97.36	80.01
FMO1	0.0	0.05	5.23	0.17	18.56	1.16	10.55	5.15	7.75	6.26	25.35	36.01	28.86	87.65	35.76	12.64	0.0	10.47	47.5	191.67	40.64	161.02	441.64	89.51	50.98
FOXP2	0.0	0.24	31.9	0.0	35.0	25.72	26.86	42.41	42.41	43.63	64.34	30.78	42.41	126.12	162.14	52.45	72.01	29.48	64.34	473.41	400.71	995.0	738.29	480.04	332.14
FUT10	0.0	0.23	43.63	34.02	87.65	56.68	127.0	52.45	84.63	88.88	96.01	106.63	38.95	158.79	90.14	94.67	50.98	47.5	78.34	108.9	157.68	204.07	119.26	217.27	142.01
GAS7	0.0	0.59	47.84	8.51	129.69	41.22	52.08	108.14	93.35	63.89	128.79	96.01	78.89	305.55	255.0	73.54	77.25	86.43	307.69	896.64	607.87	728.11	2209.26	1088.92	896.64
GDF6	0.0	0.06	7.17	2.29	12.74	3.89	0.99	9.7	1.91	10.0	5.11	3.92	7.28	61.68	23.42	16.39	8.06	9.2	26.86	45.53	67.59	28.04	96.68	37.05	29.7
GREM1	0.0	0.19	96.68	0.51	54.33	81.71	52.45	63.89	256.78	80.57	175.07	124.37	287.01	2032.85	2004.85	37.05	49.56	33.3	356.05	4769.75	2193.99	1378.57	7032.37	1605.83	842.36
GRID1	0.0	0.22	26.1	8.65	76.17	39.22	19.97	36.27	39.5	47.17	112.77	46.84	21.94	158.79	113.56	112.77	44.25	29.27	84.04	176.29	172.65	145.02	46.5	88.88	80.01
IL16	0.0	0.71	32.82	7.75	102.25	31.0	84.63	52.08	341.51	67.12	197.09	108.14	50.63	204.07	88.88	63.89	51.35	41.81	149.12	379.04	395.18	457.25	1991.0	1096.5	1073.91
ISM1	0.0	0.43	8.0	1.71	34.26	4.78	18.97	18.84	26.28	23.42	25.17	13.42	28.86	206.94	61.25	11.73	15.0	19.82	18.97	215.77	162.14	103.69	336.79	128.79	140.04
KCNE4	0.0	0.3	32.82	20.86	131.51	48.52	22.26	89.51	59.55	40.07	80.57	68.55	62.12	209.84	195.72	63.45	32.36	36.01	69.52	769.69	493.56	267.73	119.26	264.03	153.34
KCNN3	0.0	0.13	11.47	8.92	32.13	9.27	9.06	17.51	21.63	18.29	18.84	26.47	21.63	63.0	43.63	20.11	16.27	12.93	77.79	149.12	224.97	435.55	1111.82	426.57	195.72
LILRB5	0.0	0.61	3.06	16.63	18.43	4.86	4.54	1.51	18.7	6.11	18.43	2.34	4.21	119.26	25.54	11.21	4.28	8.51	21.78	106.63	249.73	208.38	234.57	103.69	420.68
MAP7D3	0.0	0.61	30.12	32.59	71.0	39.79	55.49	55.89	74.06	63.0	64.34	67.12	65.72	150.17	119.26	54.33	64.8	46.5	104.42	371.22	228.13	307.69	547.75	299.25	275.28
MEDAG	0.0	0.13	35.0	49.21	49.56	14.78	9.56	15.56	63.89	17.9	24.28	17.77	15.8	253.23	96.68	22.1	10.31	17.64	104.42	420.68	511.0	151.22	348.71	248.0	305.55
MFAP5	0.0	0.28	101.54	2.71	209.84	62.12	10.79	470.14	61.68	31.22	44.89	23.42	132.44	1199.98	1628.26	36.53	88.88	83.45	521.76	1104.13	1832.01	5954.47	6426.31	5329.3	2240.11
MSMB	0.0	0.0	894051.48	5112.16	845824.19	1212874.47	1264380.15	1308968.45	1139523.1	1171559.48	919186.72	958220.73	919186.72	33688.23	107203.06	1645391.11	894051.48	619179.28	654483.73	35.76	463.65	66.65	0.0	728.11	0.0
MYRF	0.0	0.39	6.84	5.96	9.7	10.47	6.84	9.48	19.97	7.88	16.88	16.51	7.69	18.43	17.77	6.57	8.71	15.56	20.41	642.59	1781.89	128.79	59.55	392.44	629.35
NFASC	0.0	0.57	48.52	20.11	155.5	68.55	56.68	120.94	120.94	201.25	231.32	164.42	157.68	713.11	161.02	64.8	139.07	83.45	281.09	1023.0	514.56	995.0	3168.41	1628.26	738.29
NNAT	0.0	0.42	26.86	2.89	44.89	48.87	25.54	64.8	22.92	18.43	84.04	24.11	20.26	158.79	68.07	39.22	53.19	30.34	64.8	470.14	1199.98	780.44	120.94	171.45	303.44
NOD1	0.0	0.6	37.05	25.54	71.0	27.44	34.51	34.02	85.22	54.33	80.57	68.55	36.27	122.64	82.87	52.82	50.27	41.22	87.03	529.06	325.29	273.37	329.84	260.38	199.85
OTC	0.0	0.0	0.32	0.0	0.36	1.43	0.0	0.69	1.0	0.0	0.0	0.67	0.0	13.12	7.28	0.0	0.0	0.0	7.51	2.01	116.78	112.77	39.5	320.8	785.88
P2RX7	0.0	0.31	5.28	2.14	47.17	8.25	39.22	14.14	48.18	28.04	56.28	36.27	23.59	68.07	37.59	36.53	33.78	29.7	43.94	115.16	90.14	185.11	358.54	127.0	220.32
PCSK5	0.0	0.49	21.47	7.22	50.98	26.28	12.27	24.63	31.9	40.36	56.68	52.45	31.0	180.02	71.0	23.59	38.12	27.64	52.08	170.25	151.22	249.73	591.22	406.31	285.03
PDE1A	0.0	0.34	56.28	17.9	91.41	63.89	186.4	104.42	173.85	76.17	72.52	104.42	41.22	329.84	186.4	73.54	101.54	55.49	212.78	264.03	281.09	511.0	1950.0	1066.48	414.87
PDGFRL	0.0	0.13	167.9	172.65	106.63	112.77	96.01	46.84	115.16	64.8	92.7	112.77	75.11	551.56	279.14	87.03	31.45	48.52	343.89	314.17	941.27	1498.22	2434.5	967.76	253.23
PTPDC1	0.0	0.44	52.45	39.22	73.54	75.11	49.56	46.84	74.06	73.03	66.65	67.12	58.71	122.64	79.45	47.84	107.38	57.08	80.01	191.67	137.14	145.02	151.22	137.14	144.01
PTPN5	0.0	0.0	12.36	1.6	15.68	4.94	6.26	8.78	12.45	10.39	18.7	4.58	9.85	58.71	20.71	6.06	1.75	2.41	46.5	42.11	55.49	97.36	99.43	38.4	17.25
RHAG	0.0	0.0	3.56	0.4	0.85	0.0	1.2	6.06	16.51	2.25	11.38	1.55	2.78	22.26	10.63	1.11	4.31	1.1	13.42	6.84	11.21	3.69	29.7	5.63	5.54
RP11-45M22.4	0.0	0.0	13.42	0.0	6.46	2.01	9.7	13.22	7.82	10.88	23.08	1.66	11.38	26.28	11.91	21.01	22.59	9.27	10.0	42.71	44.89	65.72	26.67	37.32	52.45
SERTM1	0.0	0.0	2.73	0.0	0.78	1.13	0.25	0.25	27.44	3.41	3.35	1.79	2.84	120.1	42.71	1.83	3.89	4.82	51.71	6.11	31.0	10.39	4.86	23.25	52.08
SH3PXD2A	0.0	0.71	105.15	16.15	267.73	120.94	114.36	181.28	220.32	186.4	323.03	212.78	214.27	599.49	275.28	130.6	110.43	105.15	256.78	733.19	599.49	775.05	860.08	819.3	738.29
SHISA3	0.0	0.27	4.86	0.93	4.98	3.2	0.71	7.11	21.16	4.28	3.86	8.85	6.01	67.59	63.89	2.46	3.82	0.91	24.81	341.51	403.5	1870.53	4066.71	647.07	251.48
SIAH2	0.0	0.88	457.25	435.55	583.07	432.53	358.54	674.59	429.54	429.54	713.11	753.83	575.03	1233.75	624.99	688.78	429.54	466.88	884.29	616.37	769.69	728.11	486.75	854.13	1447.15
SLC24A4	0.0	0.15	2.18	0.68	2.81	1.5	2.97	4.94	5.77	2.16	6.16	5.19	4.46	26.28	18.03	2.94	10.71	1.79	17.51	37.32	9.27	8.0	30.56	15.68	17.51
SLCO2B1	0.0	0.55	57.08	26.67	209.84	49.21	100.83	76.17	154.42	115.97	171.45	111.99	111.99	525.39	299.25	149.12	112.77	91.41	198.47	1225.22	679.29	587.13	688.78	733.19	684.02
SRPX2	0.0	1.11	33.06	4.62	32.36	18.56	34.26	23.93	147.06	36.01	82.87	24.28	35.76	486.75	104.42	28.65	14.67	30.12	40.93	167.9	72.52	93.35	466.88	134.3	463.65
ST7-OT4	0.0	0.25	4.21	0.0	5.5	1.01	4.46	0.0	7.11	3.08	8.0	14.24	5.36	19.82	6.41	6.36	2.58	0.88	7.46	17.51	8.19	10.96	23.08	10.88	18.43
