	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13RTK.0426.SM.5RQHT	GTEX.WH7G.1026.SM.4LVML	GTEX.ZQUD.0326.SM.4YCEN	GTEX.131XF.0926.SM.5BC69	GTEX.ZXES.1226.SM.5NQ8G	GTEX.U4B1.0926.SM.4DXUV	GTEX.ZVT2.1226.SM.5GU5H	GTEX.111CU.0626.SM.5EGHL	TCGA.VQ.A8E3.01A.11R.A39E.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.HU.8243.01A.11R.2343.13	TCGA.BR.8369.01A.11R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.BR.8366.01A.11R.2343.13	TCGA.F1.6874.01A.11R.1884.13	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8363.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.BR.8296.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.6817.01A.11R.1884.13	TCGA.HJ.7597.01A.21R.2203.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GN.11A.12R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31
AC002472.13	0.87	0.0	0.0	1.71	0.0	0.0	0.0	0.23	0.0	0.26	0.25	0.21	0.0	0.0	6.41	5.06	0.0	13.42	3.44	0.0	1.2	4.46	5.41	2.92	2.18	1.58	1.97	0.69	9.63	0.0	3.11	3.5	7.0	2.34	7.11	0.0	0.0	1.6	0.8
AC004817.1	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	4.5	0.0	12.45	0.0	0.0	0.0	5.63	1.93	1.45	0.0	0.0	1.39	13.32	10.31	1.66	0.0	0.0	3.89	0.0	2.36	0.0	0.0	0.0	0.0
AC008132.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	1.14	1.77	0.0	0.71	7.06	18.03	0.65	17.9	6.78	1.23	0.66	5.59	6.41	7.57	8.25	0.0	6.06	4.62	27.64	0.0	6.78	6.26	14.67	4.62	10.0	0.62	0.0	0.0	0.0
AC008267.1	0.0	0.0	0.95	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.45	11.13	0.39	18.56	10.39	2.56	1.22	13.03	7.4	7.4	5.96	0.0	5.63	2.41	22.75	1.3	4.7	10.31	2.66	7.69	11.91	0.36	0.0	1.14	2.97
AC016745.1	0.0	0.0	1.83	1.23	0.99	3.59	3.11	0.0	3.35	3.35	0.0	3.0	4.94	3.76	12.0	21.01	5.45	20.71	20.26	7.11	3.23	27.25	14.67	13.42	14.67	8.19	16.63	9.2	21.78	11.21	3.38	9.27	15.34	7.28	12.45	6.78	0.56	4.9	0.0
AC025278.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76	1.48	0.0	1.55	1.35	0.0	0.0	3.53	2.84	1.83	0.89	0.0	0.62	2.76	4.46	0.0	2.61	0.91	2.68	0.0	0.39	0.0	0.0	0.0	0.0
AC093802.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	2.66	0.0	3.56	1.55	1.68	0.0	3.63	2.18	0.88	1.08	0.39	1.66	2.29	3.99	0.0	0.87	2.14	1.31	1.89	3.99	0.4	0.0	0.4	0.79
AC104472.1	0.0	0.0	0.4	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.06	9.13	1.01	11.55	3.44	0.6	0.56	10.79	13.12	0.8	8.13	0.0	3.38	0.0	18.97	0.6	4.43	4.58	8.78	2.66	3.63	0.0	1.35	0.0	0.0
ACSM4	0.0	0.0	0.27	0.78	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	3.11	0.0	7.69	1.99	0.48	0.0	4.24	8.38	5.68	1.73	0.0	2.86	1.81	6.46	0.0	1.81	2.01	3.47	0.0	6.73	0.43	0.0	0.0	0.0
AL079342.1	0.0	0.0	0.32	0.0	0.0	0.45	0.0	0.0	0.0	0.48	0.0	1.3	0.92	0.0	5.73	3.79	0.0	7.4	3.63	0.55	0.0	11.73	2.92	2.71	3.44	0.51	3.53	0.44	10.24	1.51	1.69	3.76	3.92	3.06	4.35	0.48	0.0	0.0	0.0
