	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.11P7K.1326.SM.5BC5G	GTEX.X4LF.0626.SM.4QASB	GTEX.OIZH.0626.SM.3NB1L	GTEX.11P81.0826.SM.5P9GR	TCGA.CR.6492.01A.12R.2081.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.77.8144.01A.11R.2247.07
A2ML1	3383299.76	25530.66	8901.53	14561.8	13306.94	1870.53	0.0	0.0	890.44
ACAP2	884.29	909.17	460.44	674.59	633.73	353.59	161.02	0.0	249.73
AIG1	2434.5	1191.69	813.63	1104.13	896.64	902.89	872.1	0.0	728.11
AIM1	39785.74	3589.58	1508.65	3018.3	2133.97	1023.0	129.69	0.0	563.18
AMFR	1950.0	2303.12	1733.13	1832.01	1388.16	1407.55	1059.11	967.76	934.76
ARHGAP10	361.04	1277.29	825.0	896.64	656.11	218.79	353.59	0.0	248.0
ARL14	343.89	175.07	80.57	189.02	87.03	45.85	1.66	0.0	21.16
BARX2	479109.86	3349.13	2004.85	3395.89	3372.43	1059.11	0.67	0.0	860.08
BBS2	633.73	1159.07	718.08	836.53	825.0	327.56	214.27	0.0	126.12
BNIPL	44452.21	2682.69	1286.18	1936.53	1923.14	403.5	10.39	0.0	171.45
C3orf67	5219.6	808.0	358.54	684.02	460.44	85.82	21.32	0.0	99.43
C4orf3	13586.57	10659.59	5329.3	7433.4	6652.97	3491.39	2240.11	0.0	2400.97
CRCT1	1877002.62	54349.29	23169.48	47974.16	8078.22	4328.55	0.0	0.0	529.06
CRISP3	828417.36	9606.86	785.88	5517.27	2777.33	525.39	0.0	0.0	13.52
CST6	1883.54	1023.0	583.07	995.0	426.57	420.68	6.62	0.0	81.14
CUL3	3928.15	2701.35	1909.85	2451.44	2163.77	1096.5	1023.0	728.11	1199.98
DHRS11	1674.06	616.37	384.34	432.53	397.93	217.27	201.25	0.0	241.19
EDN3	132900.7	1015.93	133.36	748.61	90.14	6.62	0.0	0.0	0.0
EIF4EBP2	1127.35	1111.82	647.07	1015.93	728.11	595.34	414.87	403.5	426.57
EMP1	610654.84	107948.72	31870.96	82951.62	45072.75	5831.91	389.72	0.0	1467.37
ENDOU	20737.16	2796.65	1447.15	2835.7	2319.15	217.27	0.75	0.0	171.45
EVPL	24153.43	7130.55	3639.7	5995.9	6079.61	2537.92	2.23	0.0	1674.06
FAM129B	22072.07	24321.43	11827.67	18304.63	11504.21	7032.37	1340.84	0.0	5633.22
FAM214A	599.49	2682.69	1322.37	1457.23	583.07	480.04	145.02	0.0	205.5
FAM221A	830.75	583.07	212.78	470.14	183.82	64.8	66.18	0.0	27.64
FAM25A	1034138.94	19082.0	4671.57	20593.91	5006.93	1769.57	4.62	0.0	981.29
FLG	3716.2	5076.84	114.36	1066.48	102.97	13.12	3.96	0.0	53.95
GPR1	1088.92	351.14	105.15	146.03	153.34	87.65	83.45	0.0	30.34
GPR126	525.39	759.08	158.79	612.11	351.14	105.89	45.85	0.0	115.97
HBP1	1605.83	2816.11	1066.48	1896.65	1183.45	748.61	438.59	0.0	253.23
HPGD	5076.84	11189.6	2816.11	8421.31	4419.52	38.67	14.45	0.0	32.13
HSD11B2	656.11	503.95	389.72	638.15	323.03	182.55	48.87	0.0	199.85
ID4	423.61	1225.22	417.77	718.08	381.68	157.68	12.45	0.0	62.56
KAT2B	981.29	1143.1	395.18	1286.18	532.74	127.89	159.9	0.0	37.32
KRT4	3.697379928E7	654483.73	129266.49	542775.98	402881.61	11424.74	0.0	0.0	4.17
LMO7	4123.49	13681.08	4543.8	8421.31	3847.29	995.0	183.82	0.0	358.54
MAL	2408994.05	161367.56	47974.16	95286.54	63302.6	4328.55	20.71	0.0	116.78
MARCH7	3103.19	3419.52	1388.16	2609.3	1757.34	1191.69	341.51	0.0	1167.14
MIEF2	490.14	376.41	211.31	314.17	185.11	167.9	94.67	159.9	166.73
MLANA	13.12	19.97	5.41	9.13	5.45	5.23	0.82	0.0	2.03
MUC21	1019901.63	40062.48	18950.18	41188.81	21026.65	830.75	0.0	0.0	0.43
NCCRP1	1196176.45	11035.54	5479.15	6792.79	5147.73	3639.7	2.97	0.0	256.78
NCK2	3794.3	2417.67	1806.78	2209.26	1561.89	1015.93	420.68	0.0	780.44
NDRG4	4639.29	2502.97	941.27	1369.04	679.29	291.04	281.09	0.0	36.01
PARD3	4358.66	2400.97	1250.98	2090.03	1651.0	890.44	283.05	0.0	493.56
PCMTD1	514.56	896.64	490.14	743.43	587.13	571.05	142.01	332.14	185.11
PDCD6IP	2319.15	5791.62	3515.68	4903.87	4736.79	2240.11	2061.24	0.0	1769.57
PEX3	514.56	836.53	470.14	785.88	480.04	395.18	215.77	0.0	376.41
PHKB	890.44	1487.87	1008.9	1340.84	1073.91	497.0	447.82	647.07	567.1
PITPNM3	819.3	579.04	336.79	423.61	417.77	137.14	20.11	24.11	78.89
PPL	46019.85	26986.43	11424.74	23009.42	15607.02	4937.99	2.39	0.0	1340.84
PPP1CB	3665.02	5479.15	2895.31	4671.57	3690.52	2796.65	1467.37	1963.57	2537.92
PPP1R13L	18560.17	4736.79	2758.13	5076.84	4123.49	3794.3	708.18	0.0	3614.55
PTK6	57448.23	2758.13	2032.85	3124.78	2468.49	819.3	5.5	0.0	493.56
RASAL2	417.77	1023.0	299.25	583.07	536.45	194.36	64.8	0.0	158.79
RNF11	3349.13	3768.09	1277.29	2645.74	2520.38	2061.24	808.0	0.0	1159.07
RP11-93B14.6	120.1	38.95	11.3	29.48	12.45	2.36	0.0	0.0	1.75
SAMD10	629.35	432.53	303.44	403.5	341.51	153.34	131.51	0.0	47.5
SASH1	1313.23	2193.99	723.08	1709.26	928.3	198.47	144.01	67.12	69.03
SCEL	242898.5	12943.04	5112.16	10368.08	6079.61	1427.22	0.0	0.0	111.99
SCNN1B	23986.58	5594.3	3540.14	5041.77	2367.9	348.71	3.38	0.0	51.71
SCNN1G	24153.43	629.35	265.87	429.54	293.07	35.0	0.96	0.0	6.01
SECISBP2L	277.2	743.43	291.04	460.44	318.57	173.85	139.07	0.0	82.29
SERPINB3	7.2329051809E8	23009.42	12589.08	16269.83	21026.65	11664.82	24.11	0.0	223.41
SH3BGRL2	1721.16	4038.61	796.86	2855.44	2018.8	183.82	33.3	314.17	47.17
SLC46A2	248.0	83.45	24.11	42.71	51.35	5.06	1.87	0.0	1.89
