	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.BH.A0BA.01A.11R.A056.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.131YS.0626.SM.5EGKL	GTEX.ZAJG.0626.SM.5HL8X	GTEX.11EMC.2026.SM.5A5JV	GTEX.U3ZN.0226.SM.3DB8D	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABHD16A	507.46	1628.26	791.35	872.1	1037.29	1030.12	1225.22	1051.79	947.83	387.02	1369.04	507.46
ABHD16B	33.78	94.67	22.92	10.31	62.12	66.18	138.1	48.52	92.05	13.72	0.0	0.36
ADC	48.18	127.0	91.41	74.06	112.77	95.34	327.56	177.53	226.54	5.11	0.0	0.29
AES	2133.97	10440.2	1674.06	5366.37	7331.05	6983.79	12244.81	6037.61	13586.57	2090.03	6792.79	2104.58
ANKLE2	567.1	878.17	579.04	633.73	928.3	769.69	988.12	780.44	981.29	242.88	0.0	0.8
ANKRD62	0.0	0.66	0.0	0.0	0.36	0.0	1.45	0.3	2.76	0.0	0.0	0.0
ANO8	101.54	176.29	78.89	82.29	132.44	143.01	206.94	118.43	156.59	23.25	150.17	112.77
APOD	932018.1	331809.5	561916.97	602247.76	539026.74	602247.76	189257.69	696613.03	881742.8	356.05	0.0	0.87
ARFGAP1	638.15	1651.0	1104.13	825.0	909.17	753.83	1250.98	1304.15	1477.58	343.89	0.0	1.1
ARMCX6	438.59	1322.37	237.86	974.5	896.64	1313.23	2148.82	1044.52	1369.04	842.36	0.0	0.69
ASB6	231.32	647.07	131.51	307.69	293.07	277.2	336.79	363.56	265.87	58.71	0.0	0.36
ATXN7L3B	1159.07	1674.06	921.88	1199.98	1295.13	1437.15	1963.57	1304.15	1529.73	866.07	743.43	684.02
BCL7A	151.22	291.04	142.01	139.07	223.41	198.47	371.22	277.2	215.77	76.71	0.0	0.35
BRPF3	486.75	1066.48	656.11	587.13	642.59	591.22	555.41	836.53	642.59	346.29	0.0	0.68
C10orf137	187.71	323.03	171.45	199.85	389.72	316.37	490.14	329.84	371.22	90.77	0.0	0.57
C19orf43	2720.15	3372.43	1936.53	2875.3	2627.46	2319.15	4095.0	4095.0	2895.31	1923.14	0.0	1.0
C19orf68	10.16	61.68	4.54	21.78	55.49	43.94	77.79	21.16	42.71	22.92	0.0	0.3
C2orf27A	24.46	107.38	25.54	71.5	47.17	108.14	59.55	74.58	82.87	5.23	0.0	0.13
C6orf25	5.77	38.4	2.92	3.03	12.0	7.06	20.11	8.58	42.71	2.63	0.0	0.27
CBWD2	432.53	808.0	417.77	426.57	432.53	647.07	507.46	819.3	638.15	490.14	0.0	0.79
CCDC12	500.46	1242.34	384.34	836.53	1167.14	1104.13	2133.97	1745.2	1832.01	902.89	0.0	0.75
CCDC42B	0.47	3.66	0.49	1.85	3.14	1.95	7.46	2.27	1.0	0.49	0.0	0.0
CCDC61	96.68	248.0	116.78	163.28	212.78	149.12	348.71	208.38	368.65	95.34	0.0	0.27
CCDC85B	92.05	346.29	32.13	92.05	246.28	158.79	220.32	493.56	125.24	51.35	0.0	0.6
CDC37	2384.37	4181.07	1639.59	3081.75	3419.52	2835.7	3955.48	4268.94	3467.27	1225.22	0.0	0.61
CEP89	180.02	339.14	191.67	186.4	307.69	318.57	432.53	299.25	379.04	58.71	0.0	0.39
CHTOP	941.27	2400.97	791.35	1662.49	1477.58	1322.37	1709.26	1397.83	1674.06	890.44	0.0	0.79
CRTC1	143.01	183.82	108.9	131.51	144.01	149.12	197.09	187.71	229.72	47.17	0.0	0.6
CYTH2	514.56	1896.65	698.41	1662.49	1407.55	1685.71	1745.2	1605.83	2178.83	309.83	0.0	0.64
D2HGDH	145.02	463.65	148.09	249.73	607.87	366.09	1250.98	426.57	511.0	320.8	0.0	1.06
DDX51	107.38	463.65	98.04	177.53	343.89	209.84	616.37	483.38	463.65	102.97	334.46	105.89
DHX29	289.02	748.61	392.44	253.23	480.04	529.06	441.64	551.56	435.55	470.14	0.0	0.69
DNAH10	7.28	10.63	2.12	5.19	8.58	14.45	13.22	7.63	7.17	2.81	0.0	0.0
DPH7	140.04	457.25	171.45	323.03	441.64	305.55	703.28	529.06	633.73	111.99	0.0	0.93
DYRK1B	124.37	429.54	38.95	371.22	277.2	356.05	819.3	341.51	441.64	23.42	0.0	0.1
FAM73B	103.69	348.71	117.6	211.31	412.0	316.37	323.03	409.15	432.53	57.08	0.0	0.97
FOXP4	366.09	1167.14	389.72	536.45	733.19	713.11	1059.11	825.0	1008.9	131.51	0.0	0.68
GNA11	638.15	1233.75	363.56	759.08	1331.57	1037.29	1540.37	954.43	1447.15	283.05	866.07	909.17
GNRH2	2.46	6.67	0.0	0.73	4.54	1.85	9.56	3.23	1.31	0.67	0.0	0.0
GPR89C	7.17	114.36	27.25	36.27	52.08	32.36	64.34	83.45	123.5	16.15	0.0	0.32
HDHD3	339.14	1175.27	429.54	583.07	890.44	909.17	1151.06	836.53	961.07	902.89	651.58	665.29
HECTD4	166.73	796.86	376.41	305.55	616.37	486.75	733.19	503.95	941.27	90.77	0.0	0.93
