	TCGA.XF.A9ST.01A.11R.A42T.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.75.5126.01A.01R.1755.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.MP.A4TJ.01A.51R.A262.07	TCGA.05.4430.01A.02R.1206.07	TCGA.21.5787.01A.01R.1635.07	TCGA.98.A53H.01A.12R.A262.07
AC079354.1	0.0	341.51	1617.0	53.19	0.0	0.0	140.04	31.67	4.13	339.14
AC138517.1	0.0	547.75	0.0	4.1	0.0	0.0	47.84	3.59	0.0	14.14
ALS2CR12	1.39	89.51	61.25	18.56	0.0	0.23	79.45	25.91	12.64	166.73
BBIP1	232.94	620.67	896.64	414.87	0.0	0.66	540.19	368.65	403.5	591.22
BMPR1B	1.66	5594.3	21320.18	13.62	0.0	0.06	32.13	27.84	23.76	96.68
BPIFB1	47.84	5.156897276E7	1078054.48	8718.32	0.0	0.0	29736.59	8718.32	624.99	85283.74
BPIFB6	0.0	11.3	0.0	0.0	0.0	0.0	4.9	0.0	0.0	25.54
C10orf115	0.0	48.52	1081.39	8.45	0.0	0.0	16.27	4.13	0.72	52.45
C10orf53	0.0	2.76	52.82	0.0	0.0	0.0	2.18	0.64	0.26	1.03
C10orf67	0.28	47.17	638.15	8.13	0.0	0.0	32.82	9.13	1.87	60.82
C1orf141	0.0	14.67	78.89	30.56	0.0	0.0	81.71	46.84	0.34	102.25
C1orf168	2.76	20170.07	10883.59	15.91	0.0	0.12	78.34	24.81	3.38	116.78
C1orf234	1.91	0.0	8.0	0.0	0.0	0.06	5.19	3.03	0.0	7.51
C1orf87	0.0	1883.54	5594.3	91.41	0.0	0.0	293.07	78.34	15.11	409.15
C6	0.0	169.07	444.72	61.25	0.0	0.0	209.84	72.01	4.13	164.42
C6orf48	3419.52	13123.73	18431.96	3874.05	0.0	1.13	4066.71	3515.68	4769.75	4802.93
C8orf12	0.0	12.36	75.64	6.62	0.0	0.0	5.96	0.93	0.0	3.76
CAPSL	0.0	119776.72	677564.08	289.02	0.0	0.0	1030.12	251.48	42.11	1697.45
CATSPERD	1.89	567.1	7537.18	165.57	0.0	0.0	293.07	181.28	19.97	435.55
CCDC39	0.58	209.84	237.86	36.01	0.0	0.3	127.89	37.32	7.57	253.23
CCDC81	4.66	76.17	543.96	27.44	0.0	0.0	59.55	14.45	11.21	91.41
CCDC89	0.84	15.22	49.21	24.46	0.0	0.0	78.89	27.84	2.68	61.68
CD164L2	22.59	1096.5	2976.74	98.04	0.0	0.0	334.46	150.17	18.84	723.08
CES4A	3.41	2193.99	1350.18	105.89	0.0	0.73	507.46	137.14	187.71	698.41
CLGN	11.47	80.57	607.87	30.78	0.0	0.1	52.45	9.93	35.0	42.11
CLK4	100.83	674.59	660.68	157.68	0.0	0.66	417.77	119.26	106.63	473.41
CNGA4	5.68	128.79	1529.73	43.02	0.0	0.0	131.51	29.06	7.0	251.48
CXorf58	0.0	1.43	7.63	5.19	0.0	0.0	3.92	3.69	2.27	10.0
CYP2R1	12.64	961.07	555.41	241.19	0.0	0.57	397.93	206.94	163.28	293.07
DAW1	6.21	679.29	2417.67	111.99	0.0	0.0	161.02	73.03	12.83	389.72
DCDC2B	0.56	269.6	2090.03	70.01	0.0	0.0	234.57	48.18	12.09	497.0
DNAH2	2.76	571.05	1896.65	63.45	0.0	0.0	256.78	73.03	8.71	339.14
DNAH3	0.29	154.42	567.1	60.39	0.0	0.0	208.38	61.25	7.4	348.71
DTHD1	0.0	312.0	1572.76	47.5	0.0	0.0	185.11	31.0	16.51	400.71
DZIP3	49.91	144.01	429.54	128.79	0.0	0.08	329.84	66.65	31.67	518.15
ECT2L	0.28	44.25	189.02	69.52	0.0	0.0	153.34	37.32	7.34	341.51
EGFR	78.34	928.3	2915.45	336.79	0.0	0.72	426.57	256.78	94.01	521.76
FAM149A	36.53	1561.89	1242.34	65.26	0.0	0.47	154.42	68.55	15.0	283.05
FAM219B	332.14	1437.15	974.5	403.5	0.0	0.84	642.59	511.0	265.87	796.86
FAM221A	25.91	190.34	872.1	162.14	0.0	0.58	211.31	166.73	69.52	253.23
FUT6	0.87	1870.53	10512.82	11.64	0.0	0.19	151.22	65.72	6.67	197.09
GRIN3B	0.29	182.55	791.35	22.92	0.0	0.01	55.1	11.13	11.04	241.19
HOOK2	536.45	1936.53	1697.45	551.56	0.0	0.85	1151.06	521.76	305.55	1225.22
HYDIN	1.97	205.5	1529.73	115.97	0.0	0.04	264.03	60.82	46.18	518.15
KIAA1407	6.41	281.09	514.56	63.45	0.0	0.29	193.01	55.1	23.76	199.85
LEKR1	9.85	71.5	101.54	19.53	0.0	0.0	60.39	17.38	4.54	94.01
LIMS3L	6.89	45.85	96.01	19.97	0.0	0.0	12.74	25.91	5.54	34.75
LRIG1	12.55	4066.71	4239.45	329.84	0.0	0.44	1242.34	460.44	220.32	1331.57
LRRC34	41.81	239.52	351.14	69.52	0.0	0.26	241.19	72.01	23.93	314.17
LRRC63	1.91	8.92	62.12	4.82	0.0	0.0	8.38	1.38	1.28	6.89
LRRIQ3	3.59	48.18	136.19	22.92	0.0	0.0	42.11	18.16	3.08	38.67
LTF	4.74	4.745313181E7	6956835.58	8479.89	0.0	0.45	4836.35	3081.75	2018.8	9151.82
MAATS1	40.93	169.07	890.44	82.29	0.0	0.32	194.36	61.25	9.41	303.44
MROH9	1.62	248.0	660.68	13.22	0.0	0.0	18.56	10.55	1.6	98.73
MUC5B	1.93	5.923719433E7	3.066309426E7	1008.9	0.0	0.0	12244.81	1447.15	6426.31	13306.94
NEK5	4.62	64.34	854.13	15.45	0.0	0.0	140.04	28.24	3.82	232.94
OBP2A	1.38	0.0	346.29	2.68	0.0	0.0	642.59	3.76	0.0	5.02
OR4F29	0.0	2.34	1.46	0.0	0.0	0.0	0.89	0.43	1.17	0.89
OR4F3	0.0	2.34	1.46	0.0	0.0	0.0	0.89	0.43	1.17	0.89
PCDHA11	0.28	11.21	66.18	8.25	0.0	0.0	14.89	33.78	0.21	4.5
PPP1R3E	48.87	536.45	525.39	99.43	0.0	0.58	1008.9	88.26	67.12	316.37
RP11-542P2.1	0.0	0.0	6.67	0.66	0.0	0.0	5.92	0.0	0.0	3.63
RPS27L	1467.37	4836.35	3820.7	1832.01	0.0	0.73	3060.45	2061.24	3716.2	2485.67
RSPH10B	2.46	176.29	802.41	21.32	0.0	0.0	142.01	34.51	4.31	327.56
RSPH10B2	0.83	49.56	327.56	30.34	0.0	0.0	126.12	30.56	8.06	273.37
RSPH9	12.55	56.68	214.27	80.57	0.0	0.0	154.42	154.42	19.53	403.5
SLC22A4	5.23	85.82	432.53	127.0	0.0	0.05	269.6	98.73	50.27	397.93
SLC46A2	0.58	591.22	457.25	78.34	0.0	0.0	500.46	37.59	15.56	42.41
SNTN	0.0	47642.77	365622.68	444.72	0.0	0.0	1313.23	435.55	46.5	2645.74
SPAG6	0.0	12764.83	18431.96	289.02	0.0	0.0	587.13	490.14	43.94	921.88
SPATA6L	7.4	189.02	249.73	66.65	0.0	0.41	221.86	32.13	9.2	126.12
SSUH2	4.62	53.19	85.82	2.27	0.0	0.0	110.43	16.39	0.85	32.59
TBC1D9B	723.08	2047.0	1561.89	981.29	620.67	555.41	1417.35	1277.29	1250.98	1437.15
TCTEX1D1	1.13	165.57	173.85	65.72	0.0	0.14	329.84	40.93	9.56	543.96
TEX26	0.0	85.22	529.06	35.5	0.0	0.0	44.89	28.04	22.43	134.3
TFF3	3.66	8805660.77	4.61555234E7	1639.59	0.0	0.55	27553.49	3124.78	220.32	26067.14
THSD4	2.23	11189.6	18052.61	69.52	0.0	0.35	80.01	36.27	29.06	199.85
TMEM190	0.0	35118.87	165904.25	651.58	0.0	0.0	2739.08	521.76	75.11	4481.23
TMEM212	0.0	325.29	2816.11	53.95	0.0	0.0	187.71	27.84	2.73	267.73
TMEM229B	3.66	928.3	1225.22	165.57	0.0	0.0	129.69	65.26	43.94	108.14
TRIM41	356.05	759.08	791.35	223.41	0.0	0.68	426.57	299.25	414.87	525.39
TRIM52	38.12	334.46	376.41	129.69	0.0	0.78	351.14	127.89	90.14	279.14
TTC16	0.28	111.99	603.67	18.56	0.0	0.0	108.14	22.43	4.54	198.47
TTC18	497.0	1617.0	2451.44	57.89	0.0	0.22	295.11	45.53	9.78	497.0
