	TCGA.E2.A1LB.01A.11R.A144.07	TCGA.LL.A740.01A.21R.A32P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.BH.A0BA.01A.11R.A056.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.11P81.1926.SM.5BC53	GTEX.ZAJG.0626.SM.5HL8X	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13NZ8.0126.SM.5IJCT	TCGA.38.4625.01A.01R.1206.07
ABCC9	40.93	39.79	26.67	76.71	52.45	48.52	84.63	265.87	45.21	473.41	118.43	884.29	301.33	0.0
ACACB	18.16	27.64	34.51	660.68	37.85	92.05	343.89	1628.26	176.29	1721.16	536.45	1378.57	1304.15	0.0
ADAMTS10	82.87	162.14	27.84	218.79	117.6	100.13	236.21	251.48	70.01	303.44	103.69	830.75	334.46	0.0
ADH1A	0.66	5.36	0.0	6.84	2.63	1.58	8.19	49.21	2.43	62.56	2.61	21.47	55.49	0.0
AL445665.1	0.0	1.68	0.0	22.75	2.1	0.0	7.0	94.67	18.16	90.77	37.59	123.5	124.37	0.0
APOD	309589.14	450134.56	932018.1	331809.5	348306.01	602247.76	338781.54	539026.74	602247.76	132900.7	696613.03	5872.48	851707.37	0.0
AQP1	1167.14	1594.73	432.53	3280.18	1313.23	1143.1	7485.11	7230.1	3955.48	12853.63	2133.97	35118.87	13586.57	0.0
ASPA	3.26	8.71	0.34	20.11	4.58	6.57	32.59	115.97	18.43	133.36	29.91	780.44	172.65	0.0
AVPR2	5.15	7.94	0.41	50.27	13.22	5.32	102.97	113.56	19.25	264.03	15.0	728.11	141.02	0.0
BCHE	7.51	20.41	0.68	26.86	9.2	3.82	57.89	33.06	24.11	60.39	16.27	183.82	94.01	0.0
BMP6	28.86	36.53	8.92	57.89	24.99	10.31	69.03	173.85	43.94	223.41	26.28	358.54	269.6	0.0
C14orf37	30.78	68.07	50.98	59.55	47.5	55.1	70.01	76.71	45.53	140.04	23.42	470.14	105.15	0.0
CADM3	1.43	7.82	0.4	54.72	52.08	5.92	231.32	169.07	64.34	118.43	51.35	450.94	316.37	0.0
CAT	1286.18	1023.0	718.08	1685.71	981.29	934.76	1923.14	4123.49	2032.85	7180.15	2061.24	7537.18	4802.93	0.0
CCDC3	193.01	271.48	124.37	271.48	161.02	62.12	417.77	1286.18	154.42	1216.75	343.89	9025.81	1199.98	0.0
CCDC80	1781.89	1819.35	2193.99	1977.24	1697.45	896.64	3235.01	4038.61	1250.98	6516.03	1277.29	24153.43	4388.98	775.05
CCDC82	115.97	287.01	234.57	193.01	113.56	110.43	403.5	507.46	316.37	854.13	223.41	1519.15	591.22	0.0
CCM2L	77.79	98.73	22.75	122.64	33.78	50.27	171.45	208.38	60.82	231.32	36.53	733.19	262.2	0.0
CD300LG	1.13	1.43	0.78	182.55	18.7	10.24	409.15	1447.15	211.31	1104.13	122.64	7230.1	1540.37	0.0
